"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-4.76381166224059
2.4,0,2,-5.36688538304486
2.4,0,4,-5.97787595560902
2.4,0,6.00000000000001,-6.55237828510394
2.4,0,7.99999999999998,-7.0164578745547
2.4,0,10,-7.27470357952701
