"Freq [GHz]","dB(St(1,1)) []"
1.2,-15.7361331835629
1.206,-14.4327027544492
1.212,-13.3594011269056
1.218,-12.4747460525724
1.224,-11.7497603866926
1.23,-11.1633942501068
1.236,-10.6992601187362
1.242,-10.3433755112584
1.248,-10.0831506236333
1.254,-9.90787994673985
1.26,-9.81024527960158
1.266,-9.78755656907805
1.272,-9.84176604082299
1.278,-9.97843583690542
1.284,-10.2055153615869
1.29,-10.5325743097731
1.296,-10.9706691327733
1.302,-11.5328021599191
1.308,-12.2349514435566
1.314,-13.0976443505096
1.32,-14.147710724108
1.326,-15.4190710051937
1.332,-16.9507379510069
1.338,-18.7797988636238
1.344,-20.9220828632771
1.35,-23.3097619749066
1.356,-25.6076066491555
1.362,-26.9709032719478
1.368,-26.6545437494555
1.374,-25.1222623907716
1.38,-23.1971466036972
1.386,-21.3010912259962
1.392,-19.5928352124107
1.398,-18.1152849920896
1.404,-16.8566902311563
1.41,-15.7828528707501
1.416,-14.855519581078
1.422,-14.041560698782
1.428,-13.3163822428335
1.434,-12.6640272026522
1.44,-12.0755397192227
1.446,-11.5465774701755
1.452,-11.0748522018904
1.458,-10.6577696285957
1.464,-10.2907354637361
1.47,-9.96678545921991
1.476,-9.67779425301148
1.482,-9.41634119092423
1.488,-9.17666486222769
1.494,-8.95408437176409
1.5,-8.74369816667764
1.506,-8.53965434891494
1.512,-8.33590414756787
1.518,-8.12853142214078
1.524,-7.91845841080379
1.53,-7.7123087823866
1.536,-7.52020148420304
1.542,-7.35195993579891
1.548,-7.21444560927448
1.554,-7.11116248160411
1.56,-7.04332572070672
1.566,-7.01111302480658
1.572,-7.01432209605288
1.578,-7.05222159708376
1.584,-7.1229164420176
1.59,-7.22333317479473
1.596,-7.35134060161796
1.602,-7.50984954270569
1.608,-7.70999471480416
1.614,-7.97142996361203
1.62,-8.32173161414089
1.626,-8.79795723638876
1.632,-9.45156529278002
1.638,-10.3568290948236
1.644,-11.6224074616973
1.65,-13.3983703712687
1.656,-15.8073365418572
1.662,-18.3137520915505
1.668,-18.2654743033716
1.674,-15.5451059220519
1.68,-12.9021277740171
1.686,-10.9635767064074
1.692,-9.61258198009193
1.698,-8.68364324069533
1.704,-8.04919015833573
1.71,-7.61811883477281
1.716,-7.3259046079951
1.722,-7.12710679142706
1.728,-6.99238074772279
1.734,-6.90949325650903
1.74,-6.88388842720143
1.746,-6.93262655918917
1.752,-7.07197421115023
1.758,-7.30589263952735
1.764,-7.61889512697014
1.77,-7.97189880327935
1.776,-8.30605919836367
1.782,-8.56579643576867
1.788,-8.73415569723935
1.794,-8.84552914038691
1.8,-8.96002032459726
1.806,-9.12876624145712
