"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-2.59997196749617
2.4,0,2,-3.08409333786163
2.4,0,4,-3.64601075271773
2.4,0,6.00000000000001,-4.25407494987411
2.4,0,7.99999999999998,-4.84912390313859
2.4,0,10,-5.33969638479098
