"Freq [GHz]","dB(St(1,1)) []"
1.2,-11.9545240715688
1.206,-12.2181755207323
1.212,-12.5811720604099
1.218,-13.0810843680574
1.224,-13.7590277765345
1.23,-14.6609216928561
1.236,-15.8399956648979
1.242,-17.361767969241
1.248,-19.3135998381115
1.254,-21.8208205028169
1.26,-25.057212824735
1.266,-29.0728894723801
1.272,-32.1782906055045
1.278,-30.8734351621389
1.284,-28.1784950207831
1.29,-25.9753285418106
1.296,-24.1324642627055
1.302,-22.4073838274598
1.308,-20.7137695323099
1.314,-19.0793105473037
1.32,-17.5583424188845
1.326,-16.1841746162129
1.332,-14.9640319936402
1.338,-13.8897942654597
1.344,-12.9486555218005
1.35,-12.129939096169
1.356,-11.4286689603068
1.362,-10.8469747010601
1.368,-10.3939496142011
1.374,-10.0842378223223
1.38,-9.93562080398115
1.386,-9.96615450719182
1.392,-10.1917952951708
1.398,-10.6256413733429
1.404,-11.2796392253707
1.41,-12.1690059729947
1.416,-13.3193439668128
1.422,-14.7772592940392
1.428,-16.628228776603
1.434,-19.033797395345
1.44,-22.3296974378152
1.446,-27.3685669700664
1.452,-36.7112527498471
1.458,-32.9052137148252
1.464,-26.8557275825808
1.47,-23.8462136812467
1.476,-22.1817716098607
1.482,-21.2832901212116
1.488,-20.8525977081868
1.494,-20.6621073029551
1.5,-20.4914889587622
1.506,-20.1423506771312
1.512,-19.5085914672272
1.518,-18.6195842096032
1.524,-17.5903081296144
1.53,-16.5383230327466
1.536,-15.5432418483507
1.542,-14.6469728263728
1.548,-13.8661020252406
1.554,-13.2018094683295
1.56,-12.645089171075
1.566,-12.1795879556954
1.572,-11.7849984729792
1.578,-11.4415603068126
1.584,-11.1329881406424
1.59,-10.84607995538
1.596,-10.5691671154025
1.602,-10.29212871362
1.608,-10.0080681528589
1.614,-9.71506995217052
1.62,-9.41672785213849
1.626,-9.12120894803418
1.632,-8.83949266048785
1.638,-8.58366453482866
1.644,-8.36578830768359
1.65,-8.19727229538505
1.656,-8.08830473180612
1.662,-8.04726315628208
1.668,-8.08061032627903
1.674,-8.19365966664309
1.68,-8.39176604099786
1.686,-8.6810288209885
1.692,-9.06766916827204
1.698,-9.55523203918875
1.704,-10.1385431608882
1.71,-10.7939104001196
1.716,-11.4690271232935
1.722,-12.0862548646722
1.728,-12.5803096331715
1.734,-12.9632823024027
1.74,-13.3549017582634
1.746,-13.9377559487516
1.752,-14.876945142096
1.758,-16.2184516808853
1.764,-17.6839840599702
1.77,-18.5004082595246
1.776,-18.1920074817374
1.782,-17.338887188097
1.788,-16.4974552863704
1.794,-15.7181807162866
1.8,-14.8744951518362
1.806,-13.9295336085267
1.812,-12.9737565470153
1.818,-12.129774232285
1.824,-11.4822748167943
1.83,-11.0701923295579
1.836,-10.9052519111506
1.842,-10.9905365720455
1.848,-11.3283367387986
1.854,-11.9149351583094
1.86,-12.7254448701704
1.866,-13.6968764219666
