"Freq [GHz]","dB(St(1,1)) []"
1.2,-4.17360423134047
1.206,-4.07391999137569
1.212,-3.98122570121418
1.218,-3.8965990823476
1.224,-3.82078857948015
1.23,-3.75422340336144
1.236,-3.69700890386024
1.242,-3.64891620522478
1.248,-3.60940564058137
1.254,-3.57774712585695
1.26,-3.55329183240766
1.266,-3.53589040609731
1.272,-3.5263675739334
1.278,-3.52691797458584
1.284,-3.54132495821922
1.29,-3.57497400605483
1.296,-3.63463505035127
1.302,-3.72787861053404
1.308,-3.86184521562086
1.314,-4.04111957655704
1.32,-4.2649841558053
1.326,-4.525428792336
1.332,-4.80809545006566
1.338,-5.09699488304423
1.344,-5.38008154838184
1.35,-5.65037436706081
1.356,-5.90030746577673
1.362,-6.11397711398134
1.368,-6.26706771941912
1.374,-6.33987577120918
1.38,-6.33338021744566
1.386,-6.27111069755399
1.392,-6.18609665455689
1.398,-6.1074908259114
1.404,-6.05552531047429
1.41,-6.04268905899386
1.416,-6.07654282593622
1.422,-6.16168627694452
1.428,-6.30022135537038
1.434,-6.490843928666
1.44,-6.72713964406788
1.446,-6.99621077432081
1.452,-7.27918296431577
1.458,-7.5546229158883
1.464,-7.80402267468437
1.47,-8.01653746910902
1.476,-8.19030383364083
1.482,-8.330100693763
1.488,-8.44339371627328
1.494,-8.53705870001927
1.5,-8.61592456964682
1.506,-8.683101439407
1.512,-8.74137199380974
1.518,-8.79463365835202
1.524,-8.84852458134261
1.53,-8.90999797177304
1.536,-8.98631462548856
1.542,-9.08411185618714
1.548,-9.20884301859451
1.554,-9.36447104562198
1.56,-9.55323639262509
1.566,-9.77556297367031
1.572,-10.0304007081922
1.578,-10.3162090911415
1.584,-10.632294795892
1.59,-10.9797485215372
1.596,-11.3614418278396
1.602,-11.7814001849674
1.608,-12.2443737263294
1.614,-12.7559928992588
1.62,-13.3231348339164
1.626,-13.9538227274731
1.632,-14.6561539170347
1.638,-15.4359234838002
1.644,-16.2924019476894
1.65,-17.2111632440385
1.656,-18.1526754603308
1.662,-19.0380070528026
1.668,-19.7432296612497
1.674,-20.1292334743683
1.68,-20.1173450367879
1.686,-19.7473952890813
1.692,-19.1449339467794
1.698,-18.4421278878231
1.704,-17.7345291184424
1.71,-17.0811358525008
1.716,-16.5179457838534
1.722,-16.0671974584423
1.728,-15.7400245564615
1.734,-15.5364395571241
1.74,-15.4461805907325
1.746,-15.4513513055822
1.752,-15.530069435314
1.758,-15.6601841947116
1.764,-15.8226224794782
1.77,-16.0042402128255
1.776,-16.200011565759
1.782,-16.4142053521591
1.788,-16.6600963250561
1.794,-16.9577340362404
1.8,-17.3291229163543
1.806,-17.789681854007
1.812,-18.3344125432151
1.818,-18.9186431443512
1.824,-19.4411563772825
1.83,-19.7551664409946
1.836,-19.7361255733693
1.842,-19.3711972104818
1.848,-18.7691435424936
1.854,-18.0808783995551
1.86,-17.4247244404117
1.866,-16.8603288231744
1.872,-16.396248580863
1.878,-16.0128183241903
1.884,-15.6835848845664
1.89,-15.3863637732956
1.896,-15.1116036163
1.902,-14.8749660960443
1.908,-14.7196644446091
1.914,-14.6958628080789
1.92,-14.839685731396
1.926,-15.1719922120641
1.932,-15.7057858470697
1.938,-16.4490892306395
1.944,-17.4018179970509
1.95,-18.5476204870756
1.956,-19.8387957759997
1.962,-21.1767017564716
1.968,-22.4059541739502
1.974,-23.3460350643664
1.98,-23.8608377433613
1.986,-23.921731032491
1.992,-23.5981122712066
1.998,-22.9896256299833
2.004,-22.1794227727873
2.01,-21.2319582631027
2.016,-20.2046147342116
2.022,-19.1504990619786
2.028,-18.1131922691223
2.034,-17.1214698758117
2.04,-16.1880326419198
2.046,-15.3142108489775
2.052,-14.5009515283815
2.058,-13.7594813771679
2.064,-13.1128217658271
2.07,-12.5875223848038
2.076,-12.2019895331176
2.082,-11.9583299375818
2.088,-11.8410259220073
2.094,-11.8203489044959
2.1,-11.85716958188
2.106,-11.9101939297498
2.112,-11.9477060689983
2.118,-11.958764827991
2.124,-11.954620982201
2.13,-11.9593781210392
2.136,-11.997961972571
2.142,-12.0878071623501
2.148,-12.234782135879
2.154,-12.4317706857861
2.16,-12.6592062368387
2.166,-12.8873141645542
2.172,-13.0807128585293
2.178,-13.208510165937
2.184,-13.2600179040884
2.19,-13.2563644349284
2.196,-13.2467935552923
2.202,-13.2911316834556
2.208,-13.4395768929992
2.214,-13.7161916416316
2.22,-14.103314992096
2.226,-14.5239266663516
2.232,-14.8350761083837
2.238,-14.8700041598566
2.244,-14.5406244804071
2.25,-13.908179060215
2.256,-13.1370324619283
2.262,-12.3962970937868
2.268,-11.7923961339359
2.274,-11.351980061604
2.28,-11.0509220188576
2.286,-10.8620682425168
2.292,-10.7875815217479
2.298,-10.8604968513201
2.304,-11.1214332569789
2.31,-11.5936310063398
2.316,-12.2760092831995
2.322,-13.150735267853
2.328,-14.1915200187452
2.334,-15.3655550186285
2.34,-16.6294955242843
2.346,-17.9239582929721
2.352,-19.1739419072353
2.358,-20.3018954102455
2.364,-21.2492588707837
2.37,-21.9873973315719
2.376,-22.5054043866229
2.382,-22.790691652688
2.388,-22.8284720407319
2.394,-22.6258284933155
2.4,-22.2416797743409
2.406,-21.7937688668448
2.412,-21.4254546292085
2.418,-21.2381789494983
2.424,-21.2028406981877
2.43,-21.0881410360717
2.436,-20.5591391205399
2.442,-19.5177064154715
2.448,-18.2040037795743
2.454,-16.8964340857172
2.46,-15.7368331724906
2.466,-14.7624315254884
2.472,-13.9648105926738
2.478,-13.319288136833
2.484,-12.7944596252664
2.49,-12.3562685704792
2.496,-11.9749023120735
2.502,-11.6350970921122
2.508,-11.3421115529919
2.514,-11.1161234209653
2.52,-10.9793067546156
2.526,-10.9463669405155
2.532,-11.0241517350057
2.538,-11.2193986060173
2.544,-11.550808927628
2.55,-12.0604008224511
2.556,-12.8180476247376
2.562,-13.911133807123
2.568,-15.4092203956954
2.574,-17.2837005421834
2.58,-19.1962312142362
2.586,-20.1542733775665
2.592,-19.3091218672552
2.598,-17.4384737079379
2.604,-15.5215750182692
2.61,-13.8917949577866
2.616,-12.5957861877178
2.622,-11.6089883028921
2.628,-10.8900800992097
2.634,-10.3910281317493
2.64,-10.0591133437353
2.646,-9.83928321574583
2.652,-9.68011492108557
2.658,-9.5426072180433
