"Freq [GHz]","dB(St(1,1)) []"
1.2,-8.61255573968522
1.206,-8.98243724783291
1.212,-9.3071067968001
1.218,-9.51315658921383
1.224,-9.54929912050884
1.23,-9.42779478195411
1.236,-9.21369312823486
1.242,-8.97695208082099
1.248,-8.76230065296729
1.254,-8.5888120922271
1.26,-8.46053831655994
1.266,-8.37542502410873
1.272,-8.33010179200122
1.278,-8.32184520667418
1.284,-8.34916328521464
1.29,-8.41185266782334
1.296,-8.51080275843062
1.302,-8.64735257545761
1.308,-8.82176696339613
1.314,-9.03046959564048
1.32,-9.26205224962516
1.326,-9.49316144637408
1.332,-9.687773295423
1.338,-9.80569284689441
1.344,-9.82225083862748
1.35,-9.74761782518116
1.356,-9.62700642519901
1.362,-9.52050892482402
1.368,-9.48152650234802
1.374,-9.54772316131617
1.38,-9.74257474837972
1.386,-10.0796429901737
1.392,-10.5640490159029
1.398,-11.1882467373671
1.404,-11.9190626753936
1.41,-12.6720270041433
1.416,-13.2796574112403
1.422,-13.5065507938147
1.428,-13.1915336677728
1.434,-12.4079259416167
1.44,-11.3932370881782
1.446,-10.3603220015939
1.452,-9.42408682733894
1.458,-8.62425842436046
1.464,-7.96181072402701
1.47,-7.42255594494599
1.476,-6.98899038544472
1.482,-6.64514673330446
1.488,-6.37782347305157
1.494,-6.17625470515508
1.5,-6.03140572293675
1.506,-5.93545033442454
1.512,-5.8815707035401
1.518,-5.864010107914
1.524,-5.87824199478588
1.53,-5.92112321367177
1.536,-5.99093605111677
1.542,-6.08727868039914
1.548,-6.21082157446355
1.554,-6.36298526620046
1.56,-6.54559756228876
1.566,-6.76056178813032
1.572,-7.00953272463279
1.578,-7.29357407902799
1.584,-7.61277191517279
1.59,-7.96580605382946
1.596,-8.3495363484484
1.602,-8.75873915340082
1.608,-9.1862134301769
1.614,-9.62351736560408
1.62,-10.0625074091063
1.626,-10.4975350842381
1.632,-10.927593002464
1.638,-11.3570318038472
1.644,-11.7929544179281
1.65,-12.2373355963955
1.656,-12.673140864181
1.662,-13.0488190788083
1.668,-13.2769764894643
1.674,-13.268961880762
1.68,-12.9947437421636
1.686,-12.5070328778826
1.692,-11.9015207479878
1.698,-11.2644465918204
