"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,0.496702824304035
2.4,0,2,0.661523789107661
2.4,0,4,0.764164243496604
2.4,0,6.00000000000001,0.819760312469138
2.4,0,7.99999999999998,0.851808394471659
2.4,0,10,0.890787021892553
