"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-0.873157149996416
2.4,0,2,-1.19930449309546
2.4,0,4,-1.62881574236529
2.4,0,6.00000000000001,-2.15126539943722
2.4,0,7.99999999999998,-2.74909606101715
2.4,0,10,-3.39357772148348
