"Freq [GHz]","dB(St(1,1)) []"
1.2,-21.0727204568877
1.206,-19.0865000615672
1.212,-17.0891173438687
1.218,-15.3058604984656
1.224,-13.7668581737117
1.23,-12.4479794079878
1.236,-11.3157462135034
1.242,-10.3406857932272
1.248,-9.50013341947803
1.254,-8.77702990839119
1.26,-8.15830900122667
1.266,-7.63436902219223
1.272,-7.19941117897842
1.278,-6.85210015133331
1.284,-6.5961985029304
1.29,-6.44068949607833
1.296,-6.39819452065946
1.302,-6.47936457916939
1.308,-6.68063306962064
1.314,-6.96688280833573
1.32,-7.2623546889222
1.326,-7.4715170857977
1.332,-7.52837656139701
1.338,-7.42971840964925
1.344,-7.21989668669574
1.35,-6.95338575687119
1.356,-6.67156400164874
1.362,-6.39871018346872
1.368,-6.14643004221974
1.374,-5.91884851230656
1.38,-5.71624129981595
1.386,-5.5371409946983
1.392,-5.37944334603528
1.398,-5.24094449613088
1.404,-5.11957364008798
1.41,-5.01346992489492
1.416,-4.92098835384699
1.422,-4.84068387776692
1.428,-4.77129843196288
1.434,-4.71175820415835
1.44,-4.66118018059561
1.446,-4.61888749833329
1.452,-4.58443800384758
1.458,-4.55767593706334
1.464,-4.53882144873955
1.47,-4.52861512730487
1.476,-4.52852737439018
1.482,-4.54100256320144
1.488,-4.56958865862966
1.494,-4.61856314106571
1.5,-4.69143936191816
1.506,-4.78813093255898
1.512,-4.90228208815089
1.518,-5.02202409640772
1.524,-5.13531363965596
1.53,-5.23567580713904
1.536,-5.3235019820455
1.542,-5.40327572092254
1.548,-5.48014393860026
1.554,-5.55774131191053
1.56,-5.63714402837225
1.566,-5.71633190285255
1.572,-5.79005120138842
1.578,-5.85075005958104
1.584,-5.89153982913629
1.59,-5.91075165635662
1.596,-5.91492395545834
1.602,-5.9169520216172
1.608,-5.93073726512286
1.614,-5.9670065597159
1.62,-6.03262641981083
1.626,-6.13216856763699
1.632,-6.26968692047456
1.638,-6.44953405776501
1.644,-6.67590737596897
1.65,-6.95160622023915
1.656,-7.2773000070297
1.662,-7.65248284995561
1.668,-8.07766956156936
1.674,-8.55609550112934
1.68,-9.09396715469971
1.686,-9.70013830802562
1.692,-10.3872907159309
1.698,-11.1765387694406
1.704,-12.1054216741463
1.71,-13.2370328352007
1.716,-14.6694746445903
1.722,-16.5499533498204
1.728,-19.0965752301217
1.734,-22.5523437493753
1.74,-26.1309017359754
1.746,-25.4390342014565
1.752,-22.2732070387776
1.758,-19.9107985066761
1.764,-18.452991683631
1.77,-17.6397956191875
1.776,-17.2534842509018
1.782,-17.1084538018433
1.788,-17.0390578029065
1.794,-16.9170812862645
1.8,-16.6790831551469
1.806,-16.3291198991669
1.812,-15.9167155034093
1.818,-15.5168594462809
1.824,-15.2144510289681
1.83,-15.0784662854881
1.836,-15.1215141684457
1.842,-15.2499728586739
1.848,-15.2414371483107
1.854,-14.84845472382
1.86,-14.010690260106
1.866,-12.880651537111
1.872,-11.6396434778255
1.878,-10.4036991120067
1.884,-9.24840058330107
1.89,-8.23267527572545
1.896,-7.39223669754477
1.902,-6.73221448701685
1.908,-6.23416828230329
1.914,-5.86959432583345
1.92,-5.61029454503156
1.926,-5.4331315825771
1.932,-5.32084362723164
1.938,-5.26112045934616
1.944,-5.24533695376349
1.95,-5.2675085837096
1.956,-5.32356619683305
1.962,-5.41084681590785
1.968,-5.52757099477895
1.974,-5.67207300438652
1.98,-5.84181937614213
1.986,-6.03256519018617
1.992,-6.23791434699021
1.998,-6.44926763319293
2.004,-6.65633014155428
2.01,-6.84879517439115
2.016,-7.01930698761659
2.022,-7.16599464421296
2.028,-7.29171465133139
2.034,-7.39897071944123
2.04,-7.48374121662933
2.046,-7.53488197552477
2.052,-7.54336218899252
2.058,-7.51391876356247
2.064,-7.46426119661207
2.07,-7.41226143210351
2.076,-7.36751840649303
2.082,-7.33408788333096
2.088,-7.31698416769873
2.094,-7.32521902718696
2.1,-7.37038674896706
2.106,-7.46319189028511
2.112,-7.61089333694435
2.118,-7.81838359760003
2.124,-8.09394072127002
2.13,-8.457039652429
2.136,-8.94264604062414
2.142,-9.5962698513403
2.148,-10.4545962404304
2.154,-11.50342687171
2.16,-12.5976449578429
2.166,-13.3729861415473
2.172,-13.4016523722554
2.178,-12.6941738490374
2.184,-11.6933728563973
2.19,-10.7638637269814
2.196,-10.0349843264703
2.202,-9.49121812992934
2.208,-9.05778834879069
2.214,-8.65978797051894
2.22,-8.26320668621683
2.226,-7.87995013264964
2.232,-7.54055902166638
2.238,-7.26783083754304
2.244,-7.06876697046993
2.25,-6.93791010154667
2.256,-6.86225151018083
2.262,-6.82421727601795
2.268,-6.80341181636744
2.274,-6.77894195887763
2.28,-6.73343166729667
2.286,-6.6579002849321
2.292,-6.55470545469642
2.298,-6.43596401966274
2.304,-6.31802246351651
2.31,-6.2154630351757
2.316,-6.13766822200182
2.322,-6.08847122254843
2.328,-6.06773786545232
2.334,-6.07348684241883
2.34,-6.10360088049438
2.346,-6.15678092679641
2.352,-6.23290269063571
2.358,-6.33314612692182
2.364,-6.46016198498269
2.37,-6.61830499645546
2.376,-6.81380051412747
2.382,-7.05470892551142
2.388,-7.35068150581642
2.394,-7.7126153014837
2.4,-8.15229185242643
2.406,-8.68195787429321
2.412,-9.31354140409863
2.418,-10.0566203066376
2.424,-10.913418615042
2.43,-11.8686058832364
2.436,-12.8734860093947
2.442,-13.8327133851229
2.448,-14.6173292030294
2.454,-15.1240654828247
2.46,-15.3413873933426
2.466,-15.3438307702403
2.472,-15.2217682186233
2.478,-15.0256587181348
2.484,-14.7606906228516
2.49,-14.4166762718126
2.496,-14.0000259553622
2.502,-13.5397353453046
2.508,-13.0710004934337
2.514,-12.6199679797959
2.52,-12.2004311741083
2.526,-11.8182422637086
2.532,-11.4772833529728
2.538,-11.1836973697307
2.544,-10.9468434516391
2.55,-10.7766193887264
2.556,-10.6786187513651
2.562,-10.6500786171634
2.568,-10.6787561238654
2.574,-10.7443415898022
2.58,-10.8208726626181
2.586,-10.8801000158079
2.592,-10.8973204128456
2.598,-10.8593555718531
2.604,-10.7699035537727
2.61,-10.6470499313772
2.616,-10.5141419434566
2.622,-10.3905526734671
2.628,-10.2869978762958
2.634,-10.2054828698994
2.64,-10.1418694888482
2.646,-10.0893133106186
2.652,-10.0415578017354
2.658,-9.99548255136263
2.664,-9.95247495168447
2.67,-9.91843163770068
2.676,-9.90259819143792
2.682,-9.91584448010022
2.688,-9.96915535492709
2.694,-10.0730747814247
2.7,-10.2385606786336
2.706,-10.4790033563053
2.712,-10.8120524585449
2.718,-11.2590861015437
2.724,-11.8402428947567
2.73,-12.5633685257814
2.736,-13.4062790972923
2.742,-14.2978629147834
2.748,-15.1195280491091
2.754,-15.757641342657
2.76,-16.1898329532349
2.766,-16.5129170122822
2.772,-16.8758555755357
2.778,-17.4011598083434
2.784,-18.1577950670216
2.79,-19.1744428095678
2.796,-20.4657782004158
2.802,-22.0517130802549
2.808,-23.9384314668782
2.814,-25.9702345584537
2.82,-27.3965306078961
2.826,-26.9993871705452
2.832,-25.1135031483048
2.838,-22.9848200760711
2.844,-21.1313093071944
2.85,-19.6287301114193
2.856,-18.4479300307402
2.862,-17.5510548719527
2.868,-16.9100600665201
2.874,-16.5044637615618
2.88,-16.3116297737992
2.886,-16.2953600157364
2.892,-16.4006347407501
2.898,-16.5609154705306
2.904,-16.7137701851987
2.91,-16.8112173259871
2.916,-16.817875503574
2.922,-16.7078506096336
2.928,-16.4767577035212
2.934,-16.1602968984832
2.94,-15.8261079719123
2.946,-15.5366668056718
2.952,-15.3222509690288
2.958,-15.1831553396779
2.964,-15.1056256414586
2.97,-15.0742994365159
2.976,-15.0770789490787
2.982,-15.1055839975422
2.988,-15.1546466851648
2.994,-15.2223522065752
3,-15.31048843512
3.006,-15.4244397185088
3.012,-15.571566807415
3.018,-15.7582872230446
3.024,-15.987626199857
3.03,-16.2585390248837
3.036,-16.5662149291618
3.042,-16.9020169707961
3.048,-17.2525631761327
3.054,-17.5980491776306
3.06,-17.9108202358697
3.066,-18.1566803201358
3.072,-18.301204775964
3.078,-18.3193856947902
3.084,-18.2023237282704
3.09,-17.9562783342617
3.096,-17.5970592768072
3.102,-17.1460996933821
3.108,-16.6295159361093
3.114,-16.0769952033617
3.12,-15.518904476449
3.126,-14.9828042497456
3.132,-14.4906940133667
3.138,-14.0573556622065
3.144,-13.6899283604365
3.15,-13.3889814441606
3.156,-13.1509970235377
3.162,-12.971458296307
3.168,-12.847448526283
3.174,-12.7791672628874
3.18,-12.7706251599223
3.186,-12.8302865968199
3.192,-12.972260421932
3.198,-13.2179769315311
3.204,-13.59768585747
3.21,-14.1512625033598
3.216,-14.9290892938309
3.222,-15.9957017410909
3.228,-17.4404266850255
3.234,-19.3996595483869
3.24,-22.0862802480995
3.246,-25.6715164616099
3.252,-28.4576940094847
3.258,-26.1469740516582
3.264,-22.6182642726443
3.27,-20.0038003396556
3.276,-18.1866341455893
3.282,-16.9563163516712
3.288,-16.1816962046182
3.294,-15.7871463423694
3.3,-15.732139144697
3.306,-16.0022164252743
3.312,-16.6084934384425
3.318,-17.5889433155429
3.324,-18.9878790083001
3.33,-20.7466728929445
3.336,-22.3916858526295
3.342,-22.897281024209
3.348,-22.0374033600318
3.354,-20.7966144161402
3.36,-19.8408842926574
3.366,-19.3526917020265
3.372,-19.3641396798561
3.378,-19.8972392215579
3.384,-21.0060719264494
3.39,-22.7898587359226
3.396,-25.3221955048634
3.402,-27.8773578340628
3.408,-27.2121453057538
3.414,-23.777343759793
3.42,-20.5469956518968
3.426,-17.9997370637367
3.432,-16.0278474341645
3.438,-14.5140010325294
3.444,-13.3690348967631
3.45,-12.5220096009155
3.456,-11.914553106412
3.462,-11.4986466845105
3.468,-11.2348506060306
3.474,-11.0900012680405
3.48,-11.0345939077091
3.486,-11.0406492647289
3.492,-11.0811172295901
3.498,-11.1316651367127
3.504,-11.1748021370953
3.51,-11.2046396807099
3.516,-11.2289548262844
3.522,-11.2655526578573
3.528,-11.333200216127
3.534,-11.4412324346244
3.54,-11.582969450834
3.546,-11.7358555597049
3.552,-11.867327342698
3.558,-11.942650835575
3.564,-11.9329671077562
3.57,-11.8253982735651
3.576,-11.632334247365
3.582,-11.3895029668241
3.588,-11.1404629762926
3.594,-10.9205601899195
3.6,-10.7527912066508
