"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-2.47133392686261
2.4,0,2,-2.46723799497659
2.4,0,4,-2.57292922082507
2.4,0,6.00000000000001,-2.80091165344877
2.4,0,7.99999999999998,-3.15632843908817
2.4,0,10,-3.63606344794735
