"Freq [GHz]","dB(St(1,1)) []"
1.2,-6.86021028936272
1.206,-7.14751126435316
1.212,-7.49058896660551
1.218,-7.88993837427122
1.224,-8.34138190884576
1.23,-8.83399763594593
1.236,-9.34810543171772
1.242,-9.85454639416607
1.248,-10.3172855428006
1.254,-10.7013381941529
1.26,-10.985213707262
1.266,-11.1711033942667
1.272,-11.2833024753784
1.278,-11.3538043140723
1.284,-11.4061314868824
1.29,-11.4484528139511
1.296,-11.4770298163724
1.302,-11.4843857591444
1.308,-11.466700094435
1.314,-11.4276018778334
1.32,-11.3780580158281
1.326,-11.3337459298901
1.332,-11.3118094978851
1.338,-11.328325666126
1.344,-11.3968553604882
1.35,-11.5277617296535
1.356,-11.7277189137682
1.362,-11.9988624439675
1.368,-12.3372036003183
1.374,-12.7302385136736
1.38,-13.15424001796
1.386,-13.5726142638578
1.392,-13.9376762062754
1.398,-14.1981839627501
1.404,-14.3123351478827
1.41,-14.2608983673796
1.416,-14.0525277669474
1.422,-13.7179732530393
1.428,-13.2979174447726
1.434,-12.8318503529469
1.44,-12.3517926496713
1.446,-11.8804913228992
1.452,-11.4321766235126
1.458,-11.0143342623022
1.464,-10.6297191455612
1.47,-10.2783373749384
1.476,-9.95927651224343
1.482,-9.67220774576935
1.488,-9.41831680711848
1.494,-9.20051091324765
1.5,-9.02300090679893
1.506,-8.89058487423864
1.512,-8.80796675659471
1.518,-8.77921966117184
1.524,-8.8071893532726
1.53,-8.89236118100512
1.536,-9.03058978780951
1.542,-9.20942268557106
1.548,-9.40429473312903
1.554,-9.5790702113353
1.56,-9.69688442319825
1.566,-9.73853204967519
1.572,-9.71054885916711
1.578,-9.63149733013246
1.584,-9.51244499766386
1.59,-9.35339249202561
1.596,-9.15725285054975
1.602,-8.94531590897804
1.608,-8.75606257168103
1.614,-8.62555774660715
1.62,-8.5668255607218
1.626,-8.56459211989633
1.632,-8.58598605415095
1.638,-8.59678247424795
1.644,-8.57274025816902
1.65,-8.50252181606883
1.656,-8.38542376286748
1.662,-8.22841087754495
1.668,-8.04415355176894
1.674,-7.84937361104673
1.68,-7.66269311100274
1.686,-7.50233585961441
1.692,-7.38476718924215
1.698,-7.32500818557633
1.704,-7.33849568667883
1.71,-7.44379860870362
1.716,-7.66545512611025
1.722,-8.03634558121014
1.728,-8.59904366808047
1.734,-9.40549064491321
1.74,-10.5143489999428
1.746,-11.9851715743276
1.752,-13.8642865576263
1.758,-16.1333129767186
1.764,-18.5098869007377
1.77,-20.0360410323094
1.776,-19.7350718537378
1.782,-18.3390289741629
1.788,-16.905554758145
1.794,-15.7941598841124
1.8,-15.0532730823684
1.806,-14.6682337057584
1.812,-14.6274354691533
1.818,-14.9355598988742
1.824,-15.6122197829833
1.83,-16.6776748458905
1.836,-18.1010165595533
1.842,-19.6425184939618
1.848,-20.6075430767033
1.854,-20.2719835605978
1.86,-18.9933445567314
1.866,-17.5592666385604
1.872,-16.3276250118762
1.878,-15.3705885129966
1.884,-14.6801755722104
1.89,-14.2377284319374
1.896,-14.0292028804158
1.902,-14.0469135989844
1.908,-14.2884267149271
1.914,-14.7544779956145
1.92,-15.4454039509682
1.926,-16.3534010030705
1.932,-17.4432210937082
1.938,-18.6066414621671
1.944,-19.5863653816404
1.95,-19.975627632488
1.956,-19.5271703531201
1.962,-18.4655891045597
1.968,-17.2116565616047
1.974,-16.0411759023309
1.98,-15.065458537226
1.986,-14.3085197714568
1.992,-13.7549676057829
1.998,-13.3706987037335
2.004,-13.1133506348369
2.01,-12.9368305533159
2.016,-12.7903302238097
2.022,-12.6229873878307
2.028,-12.4026996293774
2.034,-12.1328514296711
2.04,-11.8453172622934
2.046,-11.5769953302787
2.052,-11.3531823208321
2.058,-11.1853774995888
2.064,-11.0758695495939
2.07,-11.02187556464
2.076,-11.0175606516012
2.082,-11.0551158163923
2.088,-11.1265288622703
2.094,-11.2272393481425
2.1,-11.3607949099656
2.106,-11.5393286424159
2.112,-11.7738098123543
2.118,-12.0579256234744
2.124,-12.3592079220737
2.13,-12.6231066422297
2.136,-12.7856749960412
2.142,-12.7958902240619
2.148,-12.6457979221682
2.154,-12.3857117722568
2.16,-12.1047968702269
2.166,-11.8945071817722
2.172,-11.8257102199971
2.178,-11.9472149984111
2.184,-12.2947851931056
2.19,-12.8984426448409
2.196,-13.7793242189839
2.202,-14.926503591088
2.208,-16.2363755938673
2.214,-17.4043334567896
2.22,-17.9094770366858
2.226,-17.4415782646773
2.232,-16.2940157223081
2.238,-14.934457497185
2.244,-13.6189269290085
2.25,-12.4289304074437
2.256,-11.3754792256693
2.262,-10.4508945978798
2.268,-9.64668488025647
2.274,-8.95855464811038
2.28,-8.38716351326732
2.286,-7.93361057849961
2.292,-7.58717309783405
2.298,-7.3216720745399
2.304,-7.11355698778908
2.31,-6.95278843832925
2.316,-6.83605892830669
2.322,-6.76031571205759
2.328,-6.72167188367192
2.334,-6.7159031674059
2.34,-6.73807159119454
2.346,-6.78111072459859
2.352,-6.83406903055159
2.358,-6.88050672965509
2.364,-6.89752164538361
2.37,-6.85728796980014
2.376,-6.73536437354601
2.382,-6.52770211181449
2.388,-6.26474019572804
2.394,-6.00206342345521
2.4,-5.79053987231362
2.406,-5.65533558120545
2.412,-5.59765543799251
2.418,-5.60720100261457
2.424,-5.67243989188512
2.43,-5.7854829765485
2.436,-5.94301073544597
2.442,-6.14501916622411
2.448,-6.39271165070141
2.454,-6.68647678431761
2.46,-7.02439234741618
2.466,-7.40128483497566
2.472,-7.80831012194846
2.478,-8.2331921137369
2.484,-8.66141773114036
2.49,-9.07860665663908
2.496,-9.47356356347932
2.502,-9.84015928125455
2.508,-10.1754852427103
