"Freq [GHz]","dB(St(1,1)) []"
1.2,-9.86376998522498
1.206,-10.3060507632969
1.212,-10.873056545682
1.218,-11.5797880413893
1.224,-12.4531080833476
1.23,-13.5328385713673
1.236,-14.8721728456826
1.242,-16.5403608102636
1.248,-18.6202968860545
1.254,-21.1451103361233
1.26,-23.6894329246642
1.266,-24.4171283315246
1.272,-22.4822348105289
1.278,-19.9207434622075
1.284,-17.711430398394
1.29,-15.9326104492581
1.296,-14.5068446180247
1.302,-13.3567400689403
1.308,-12.4207789715989
1.314,-11.649562975764
1.32,-11.0018958488592
1.326,-10.4432703232624
1.332,-9.94664967127739
1.338,-9.49409074517338
1.344,-9.0768791635202
1.35,-8.69304622393947
1.356,-8.34357965788161
1.362,-8.02946307191377
1.368,-7.75043098688784
1.374,-7.50498761997121
1.38,-7.29090534658467
1.386,-7.1057006128041
1.392,-6.94690386819572
1.398,-6.8121179442988
1.404,-6.69895661035367
1.41,-6.60503232364517
1.416,-6.52815169160935
1.422,-6.46667336591685
1.428,-6.41975309055776
1.434,-6.38728377591598
1.44,-6.36963828333662
1.446,-6.3674343430432
1.452,-6.38142156436
1.458,-6.41246785164275
1.464,-6.46159183777157
1.47,-6.53000592801588
1.476,-6.61915548920189
1.482,-6.73075105188025
1.488,-6.86679479420965
1.494,-7.02960421792798
1.5,-7.22183703197164
1.506,-7.44652292155557
1.512,-7.70711189352309
1.518,-8.00755753383713
1.524,-8.35246410950548
1.53,-8.7473245371777
1.536,-9.19884011437727
1.542,-9.71523885001886
1.548,-10.3064462294405
1.554,-10.9840072179098
1.56,-11.7608645731688
1.566,-12.6513743468007
1.572,-13.6720789025337
1.578,-14.8434974129055
1.584,-16.1920748230198
1.59,-17.7487502698543
1.596,-19.5355775956565
1.602,-21.5223759860684
1.608,-23.5218669263697
1.614,-25.039629970384
1.62,-25.4049321761264
1.626,-24.4506619841764
1.632,-22.6802675148833
1.638,-20.6950329914906
1.644,-18.8722271815607
1.65,-17.3588046368025
1.656,-16.1686518995622
1.662,-15.2646259867043
1.668,-14.5970012194219
1.674,-14.1148048891333
1.68,-13.7688098021664
1.686,-13.5151992247267
1.692,-13.3200276574227
1.698,-13.1612216661398
1.704,-13.0269566242223
1.71,-12.912084026541
1.716,-12.8146510025304
1.722,-12.7334659843135
1.728,-12.6669314505174
1.734,-12.6131626820979
1.74,-12.5711436884748
1.746,-12.5422607034065
1.752,-12.5313975549197
1.758,-12.5471190748263
1.764,-12.6010685216964
1.77,-12.7070257284096
1.776,-12.8798527696427
1.782,-13.1340972535864
1.788,-13.4819074225818
1.794,-13.9305951037649
1.8,-14.4815287810892
1.806,-15.1324693394867
1.812,-15.8826678905329
1.818,-16.7354486985419
1.824,-17.6926390192223
1.83,-18.7407884370035
1.836,-19.8352691532416
1.842,-20.8925039159987
1.848,-21.8035631415086
1.854,-22.4760674310757
1.86,-22.8837125130027
1.866,-23.0803132978177
1.872,-23.1668118669699
1.878,-23.2470442475162
1.884,-23.4033466034169
1.89,-23.6940208978479
1.896,-24.164060984433
1.902,-24.8630305193176
1.908,-25.8662919722013
1.914,-27.2951295377056
1.92,-29.316612887403
1.926,-31.9758522343701
1.932,-34.0991566417181
1.938,-33.036418911072
1.944,-30.5728947280797
1.95,-28.8172327207885
1.956,-28.0193408318429
1.962,-28.0324860572341
1.968,-28.489980553254
1.974,-28.4617435621849
1.98,-26.9460974947427
1.986,-24.4752452167862
1.992,-22.0341761463777
1.998,-19.9611929441617
2.004,-18.2610491089527
2.01,-16.8711764598007
2.016,-15.7396864302781
2.022,-14.8337933050929
2.028,-14.1303118787195
2.034,-13.6073030102621
2.04,-13.2398578837778
2.046,-12.9972734286141
2.052,-12.8414363380305
2.058,-12.7302527026498
2.064,-12.6282938860143
2.07,-12.5191253837168
2.076,-12.4091754234201
2.082,-12.3194663390695
2.088,-12.2721498249965
2.094,-12.2807606401923
2.1,-12.3468441717976
2.106,-12.4602734901846
2.112,-12.6001084313929
2.118,-12.7355119556803
2.124,-12.829302818007
2.13,-12.8472305219255
2.136,-12.7716521228167
2.142,-12.6114127353077
2.148,-12.3982544434315
2.154,-12.1700788775025
2.16,-11.955309149897
2.166,-11.7714150486922
2.172,-11.6343989216136
2.178,-11.5665275142988
