"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-3.42774399645442
2.4,0,2,-3.83246279369977
2.4,0,4,-4.35390060170698
2.4,0,6.00000000000001,-5.03410432389924
2.4,0,7.99999999999998,-5.88108880848461
2.4,0,10,-6.80315269079818
