"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,3.86660701773011
2.4,0,2,3.51281346930747
2.4,0,4,3.02867917030772
2.4,0,6.00000000000001,2.45097720583966
2.4,0,7.99999999999998,1.84712163842817
2.4,0,10,1.32212208065202
