"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-0.743990550093942
2.4,0,2,-0.901620814154756
2.4,0,4,-1.18347857574702
2.4,0,6.00000000000001,-1.54739179355792
2.4,0,7.99999999999998,-1.92442754378082
2.4,0,10,-2.22032813578168
