"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,2.69266608129097
2.4,0,2,2.4357317222259
2.4,0,4,2.08913116028645
2.4,0,6.00000000000001,1.67183569285713
2.4,0,7.99999999999998,1.21409299149372
2.4,0,10,0.758430744633886
