"Freq [GHz]","dB(St(1,1)) []"
1.2,-20.5405635001066
1.206,-21.5738607553919
1.212,-22.4828859797962
1.218,-23.3446186459626
1.224,-24.280897406035
1.23,-25.2277947054437
1.236,-25.4754344823303
1.242,-23.9745978090025
1.248,-21.2351728659041
1.254,-18.4269380752351
1.26,-16.0002868129318
1.266,-14.0037143212779
1.272,-12.3842199233119
1.278,-11.0746994935443
1.284,-10.0142464953045
1.29,-9.1520819859431
1.296,-8.44740325682067
1.302,-7.86810780951305
1.308,-7.38921485264067
1.314,-6.99127809375518
1.32,-6.65896109240367
1.326,-6.37995133956026
1.332,-6.14432449343107
1.338,-5.94424528060893
1.344,-5.7737299673227
1.35,-5.62830944393909
1.356,-5.50463866018769
1.362,-5.40015585950735
1.368,-5.31283420851694
1.374,-5.2410113343692
1.38,-5.18326740208465
1.386,-5.13833144559728
1.392,-5.10500719359447
1.398,-5.08211141942888
1.404,-5.06840926475063
1.41,-5.06252500187188
1.416,-5.06281684465989
1.422,-5.06722829481478
1.428,-5.07315641730203
1.434,-5.07740953396725
1.44,-5.07636451967336
1.446,-5.06645211646558
1.452,-5.04502982019793
1.458,-5.01147389433764
1.464,-4.96799015456047
1.47,-4.91951005554062
1.476,-4.87243962809714
1.482,-4.83277618888159
1.488,-4.80445627367515
1.494,-4.7883857969129
1.5,-4.78202126432673
1.506,-4.77936805513725
1.512,-4.77181013457693
1.518,-4.75051558065701
1.524,-4.71038797911939
1.53,-4.65364934593248
1.536,-4.59003377694889
1.542,-4.53255323199769
1.548,-4.49154667317851
1.554,-4.47090485113937
1.56,-4.46797068347432
1.566,-4.47593021551765
1.572,-4.48677656762103
1.578,-4.49354676862403
1.584,-4.49132961687183
1.59,-4.4771156899554
1.596,-4.44893260924481
1.602,-4.40490489345819
1.608,-4.34288428750213
1.614,-4.26109315140999
1.62,-4.159755936601
1.626,-4.04298767876341
1.632,-3.91967223196103
1.638,-3.80240638168324
1.644,-3.70488902152292
1.65,-3.63925774937538
1.656,-3.61469756731286
1.662,-3.63753315732895
1.668,-3.71214347615803
1.674,-3.84188206654899
1.68,-4.02943483184228
1.686,-4.27643093864771
1.692,-4.58269797203297
1.698,-4.94604467666322
1.704,-5.36298472376556
1.71,-5.82991145050268
1.716,-6.34506286510075
1.722,-6.91272891969245
1.728,-7.54850564808074
1.734,-8.27959428165487
1.74,-9.13401663860195
