"Freq [GHz]","dB(St(1,1)) []"
1.2,-8.79511178992028
1.206,-8.79760657579628
1.212,-8.89483225104622
1.218,-9.09824854325758
1.224,-9.41901544214415
1.23,-9.86468234028179
1.236,-10.4330167656689
1.242,-11.1018420359138
1.248,-11.8155338855243
1.254,-12.4757459269338
1.26,-12.9566308636739
1.266,-13.1624069782981
1.272,-13.0937867969016
1.278,-12.8492717525901
1.284,-12.5613077038105
1.29,-12.3402320816579
1.296,-12.2577655494495
1.302,-12.3510790636017
1.308,-12.6257747296854
1.314,-13.0476869499678
1.32,-13.5226806616976
1.326,-13.8828813054923
1.332,-13.932180952781
1.338,-13.5746926607917
1.344,-12.8933994815412
1.35,-12.0627772505338
1.356,-11.226440511655
1.362,-10.4603647842976
1.368,-9.79102888175063
1.374,-9.21943171479873
1.38,-8.73625236342488
1.386,-8.3293492638874
1.392,-7.98695173786845
1.398,-7.69878686725048
1.404,-7.45631068122393
1.41,-7.25259374125756
1.416,-7.08210452600796
1.422,-6.94049183589014
1.428,-6.82440328944511
1.434,-6.73134663512991
1.44,-6.65958243750271
1.446,-6.60802251537714
1.452,-6.5761024241856
1.458,-6.56361294819744
1.464,-6.57052290540657
1.47,-6.59687478015969
1.476,-6.64282801640752
1.482,-6.70885021961847
1.488,-6.79598551811943
1.494,-6.90612493615247
1.5,-7.0422305973419
1.506,-7.20843611371009
1.512,-7.40981990445409
1.518,-7.65151431201553
1.524,-7.93691646622285
1.53,-8.26530846999109
1.536,-8.62994431468842
1.542,-9.01800904826276
1.548,-9.41331285500714
1.554,-9.80106183133432
1.56,-10.1723612423354
1.566,-10.5259838646504
1.572,-10.8668933187107
1.578,-11.2031095469182
1.584,-11.542873166627
1.59,-11.8930834582176
1.596,-12.2590039563232
1.602,-12.6448372683283
1.608,-13.0547481479452
1.614,-13.493891062649
1.62,-13.9688259622301
1.626,-14.4865768983201
1.632,-15.0519664690735
1.638,-15.6639638000299
1.644,-16.3129344032875
1.65,-16.9806708084395
1.656,-17.6436297922948
1.662,-18.2781039756073
1.668,-18.8654482286893
1.674,-19.3958182200669
1.68,-19.8688505178023
1.686,-20.2893029140509
1.692,-20.6574125616626
1.698,-20.9582808420047
1.704,-21.1571090733568
1.71,-21.2053238400067
1.716,-21.0595715097841
1.722,-20.7083007512272
1.728,-20.1883474231232
1.734,-19.5749375417707
1.74,-18.9515147044687
1.746,-18.3821867953057
1.752,-17.900775822704
1.758,-17.5141839804313
1.764,-17.2108606156702
1.77,-16.9674216117684
1.776,-16.7520433546701
1.782,-16.5273187526024
1.788,-16.2556331900833
1.794,-15.9073143179388
1.8,-15.4682367431826
1.806,-14.9423848275655
1.812,-14.3477287142528
1.818,-13.7083455833651
1.824,-13.0476559879598
1.83,-12.3854901362751
1.836,-11.7382459755123
1.842,-11.1199901829291
1.848,-10.5432145933471
1.854,-10.0191441912344
1.86,-9.55790618609209
1.866,-9.16878262875415
1.872,-8.8606282431185
1.878,-8.64252359350791
1.884,-8.52486658878852
1.89,-8.52078906521414
1.896,-8.64609825510277
1.902,-8.91466664890238
1.908,-9.32872043432463
1.914,-9.86646412923154
1.92,-10.4684794861189
1.926,-11.0274058180016
1.932,-11.400374821442
1.938,-11.4685664658893
1.944,-11.2150900602491
1.95,-10.7338491633411
1.956,-10.1586585627586
1.962,-9.59790128769554
1.968,-9.11680906495408
1.974,-8.74700191260697
1.98,-8.50008657084912
1.986,-8.37736397913553
1.992,-8.37547952723667
1.998,-8.4894507593005
2.004,-8.7136034481657
2.01,-9.0391953946572
2.016,-9.44730873375538
2.022,-9.89923335474509
2.028,-10.3329919814017
2.034,-10.6787720048449
2.04,-10.8960165872561
2.046,-11.0053785397648
2.052,-11.0766120358383
2.058,-11.1726579553477
2.064,-11.2911348566004
2.07,-11.3479439404719
2.076,-11.2313450413162
2.082,-10.8971736196849
2.088,-10.405433644036
2.094,-9.86216355781698
2.1,-9.35020274413082
2.106,-8.90717560948169
2.112,-8.53645431553907
2.118,-8.22801415295318
2.124,-7.98063758458496
2.13,-7.81580206954931
2.136,-7.76756748337261
2.142,-7.8506938081827
2.148,-8.03683722294119
2.154,-8.26512048395966
2.16,-8.48461158751959
2.166,-8.69300229458667
2.172,-8.93139049080645
2.178,-9.24754132802027
2.184,-9.67176424331827
2.19,-10.2181856240464
2.196,-10.897850357409
2.202,-11.7307239091416
2.208,-12.7458938929544
2.214,-13.9644689112149
2.22,-15.3695225311507
2.226,-16.8600529406243
2.232,-18.1856112758779
2.238,-18.9560301571688
2.244,-18.9199034895764
2.25,-18.2399917766624
2.256,-17.2667148447702
2.262,-16.23890389463
2.268,-15.2578424296677
2.274,-14.3545863266926
2.28,-13.5344765172798
2.286,-12.7956326124923
2.292,-12.1352122521327
2.298,-11.5510311150564
2.304,-11.0414335511274
2.31,-10.6043454353404
2.316,-10.236035236551
2.322,-9.93025179817544
2.328,-9.67827585690438
2.334,-9.46998140484777
2.34,-9.29564738184662
2.346,-9.14809802634444
2.352,-9.02464400905579
2.358,-8.92816307144992
2.364,-8.86658564843458
2.37,-8.85020031917614
2.376,-8.88649603777449
2.382,-8.97261524304995
2.388,-9.0869565448194
2.394,-9.18608353780768
2.4,-9.2178118255606
2.406,-9.15115559542426
2.412,-8.99699393437191
2.418,-8.79497376686927
2.424,-8.58371289104952
2.43,-8.38437557334623
2.436,-8.20191334603869
2.442,-8.03280076633968
2.448,-7.87138812158079
2.454,-7.71308322462093
2.46,-7.55528855668277
2.466,-7.39735574138771
2.472,-7.24031382888309
2.478,-7.08653562953994
2.484,-6.93911759225548
2.49,-6.80079003888437
2.496,-6.67279947835344
2.502,-6.55476624458339
2.508,-6.44564057239668
2.514,-6.34462445541389
2.52,-6.25209159267506
2.526,-6.17084229551071
2.532,-6.10595685310164
2.538,-6.06274236330645
2.544,-6.04477655045862
2.55,-6.05342983217924
2.556,-6.08849264988241
2.562,-6.1490148451668
2.568,-6.23385974171428
2.574,-6.34183910228732
2.58,-6.47132789306385
2.586,-6.61920638150813
2.592,-6.77929008924938
2.598,-6.94138066179983
2.604,-7.09311155370044
2.61,-7.2257633018503
2.616,-7.34096856377642
2.622,-7.4522716764859
2.628,-7.57958586087802
2.634,-7.74096186952933
2.64,-7.94643690567105
2.646,-8.19502756835119
2.652,-8.47411975496732
2.658,-8.76128331581065
2.664,-9.02923091437597
2.67,-9.25337406615378
2.676,-9.41914469614146
2.682,-9.52605373881294
2.688,-9.58813724434365
2.694,-9.63233641797822
2.7,-9.69507580833973
2.706,-9.81579238447489
2.712,-10.0277248963462
2.718,-10.3494950659364
2.724,-10.7822481551752
2.73,-11.3151977769652
2.736,-11.9387474031059
2.742,-12.6601243056165
2.748,-13.5137451014439
2.754,-14.5618323213852
2.76,-15.8884211668052
2.766,-17.5898271445916
2.772,-19.7408844652035
2.778,-22.2145087982637
2.784,-24.0399588924534
2.79,-23.606915333334
2.796,-21.7018743342714
2.802,-19.8391095100672
2.808,-18.4261672261318
2.814,-17.4510687054918
2.82,-16.8363925668493
2.826,-16.5088067179968
2.832,-16.4077731800877
2.838,-16.4863893969206
2.844,-16.7148427693775
2.85,-17.0867301152102
2.856,-17.6236911311727
2.862,-18.3745278428602
2.868,-19.4127534403882
2.874,-20.8429594485417
