"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-0.155445483427428
2.4,0,2,-0.124554614615366
2.4,0,4,-0.217199288292024
2.4,0,6.00000000000001,-0.441198598959436
2.4,0,7.99999999999998,-0.803028584260832
2.4,0,10,-1.30724816794981
