"Freq [GHz]","dB(St(1,1)) []"
1.2,-11.9188915357915
1.206,-12.4703164880571
1.212,-12.9880759285262
1.218,-13.383225755858
1.224,-13.5746316768373
1.23,-13.5261831445556
1.236,-13.2642781985993
1.242,-12.8615967005111
1.248,-12.4037297145486
1.254,-11.9632491458107
1.26,-11.5901006938832
1.266,-11.3134002698095
1.272,-11.147394313564
1.278,-11.0973454572235
1.284,-11.1638809187212
1.29,-11.345672740109
1.296,-11.6406891427438
1.302,-12.046186355964
1.308,-12.5573567685858
1.314,-13.1642186975936
1.32,-13.8460828319498
1.326,-14.5633205698814
1.332,-15.2486562477194
1.338,-15.8064731832199
1.344,-16.134273236513
1.35,-16.1672280963298
1.356,-15.9110592350468
1.362,-15.427384615771
1.368,-14.7918102625943
1.374,-14.0676554034529
1.38,-13.3029483797057
1.386,-12.5349229043525
1.392,-11.7923707561196
1.398,-11.0959953796519
1.404,-10.4589857069068
1.41,-9.88839667140711
1.416,-9.38679767543169
1.422,-8.95361992483596
1.428,-8.58601191535778
1.434,-8.27935493811811
1.44,-8.02774405213036
1.446,-7.82465335922962
1.452,-7.66375364982123
1.458,-7.53965663833574
1.464,-7.44838946704817
1.47,-7.38758573397642
1.476,-7.35652134685737
1.482,-7.35612966392623
1.488,-7.38904534916836
1.494,-7.45963586910974
1.5,-7.57393220202437
1.506,-7.73935903554705
1.512,-7.96414255822346
1.518,-8.2562005987649
1.524,-8.6212311564513
1.53,-9.05977269168727
1.536,-9.56345449559857
1.542,-10.1115779544106
1.548,-10.6701426780523
1.554,-11.1955099783078
1.56,-11.643468999472
1.566,-11.9820282538169
1.572,-12.2036808494329
1.578,-12.3310876917582
1.584,-12.4112741332596
1.59,-12.4988482878409
1.596,-12.6347646381375
1.602,-12.8294950412082
1.608,-13.0589662046178
1.614,-13.2787115584758
1.62,-13.4517078865733
1.626,-13.5710638047969
1.632,-13.6598510666603
1.638,-13.752834669008
1.644,-13.8800116901178
1.65,-14.0630560410733
1.656,-14.3200802140902
1.662,-14.6688795795951
1.668,-15.1246086634769
1.674,-15.6942828696106
1.68,-16.3703676039245
1.686,-17.1223621732054
1.692,-17.8847458358499
1.698,-18.5462178772935
1.704,-18.9613443739139
1.71,-19.0115046707416
1.716,-18.686436286865
1.722,-18.0926462604333
1.728,-17.3764376609373
1.734,-16.6541031377844
1.74,-15.9939485177637
1.746,-15.4272720912991
1.752,-14.9635170881409
1.758,-14.601488740288
1.764,-14.3364476014095
1.77,-14.1642031997315
1.776,-14.0828559306975
1.782,-14.0925131157195
1.788,-14.193446201224
1.794,-14.3834650537349
1.8,-14.655447360152
1.806,-14.9957651276836
1.812,-15.383281007892
1.818,-15.7860554113969
1.824,-16.1513026959483
1.83,-16.3920761374683
1.836,-16.3954290224259
1.842,-16.0798594269867
1.848,-15.4674823171607
1.854,-14.6844255889457
1.86,-13.8875007873
1.866,-13.1979609773511
1.872,-12.679740301462
1.878,-12.34779808009
1.884,-12.1864008662636
1.89,-12.1658937976597
1.896,-12.2564768658233
1.902,-12.4418915799236
1.908,-12.7284602138601
1.914,-13.1401824347467
1.92,-13.7049937426007
1.926,-14.4469677166273
1.932,-15.3878181801018
1.938,-16.5515309158531
1.944,-17.9673516253214
1.95,-19.6686871387079
1.956,-21.6832186559587
1.962,-23.9998465825929
1.968,-26.4666143721438
1.974,-28.4976454138718
1.98,-28.804715732292
1.986,-26.8926744578816
1.992,-24.0385138420007
1.998,-21.2258654155336
2.004,-18.7442351199915
2.01,-16.6267645810783
2.016,-14.8419894218209
2.022,-13.3447829110223
2.028,-12.088797777223
2.034,-11.0314110611093
2.04,-10.136146337487
2.046,-9.37294430410785
2.052,-8.71718527968257
2.058,-8.14851774331333
2.064,-7.65027086430471
2.07,-7.2096953768033
2.076,-6.81830370110637
2.082,-6.47109444401652
2.088,-6.16468619383765
2.094,-5.89570212096707
2.1,-5.66011052758668
2.106,-5.45309881356564
2.112,-5.2689733418056
2.118,-5.10104402310197
2.124,-4.94183034266921
2.13,-4.78403143994067
2.136,-4.62231392319579
2.142,-4.45505337299825
2.148,-4.28461979907532
2.154,-4.11573958223074
2.16,-3.95312584390928
2.166,-3.79997602899428
2.172,-3.65787918520683
2.178,-3.52756425606788
2.184,-3.40965331573967
2.19,-3.3049886883982
2.196,-3.21457004041121
2.202,-3.13930455435396
2.208,-3.07972657450246
2.214,-3.03580064809607
2.22,-3.00692180766831
2.226,-2.99216561853519
2.232,-2.9906992680428
2.238,-3.00216861970574
2.244,-3.02691075905229
2.25,-3.06594000083073
2.256,-3.12071497421081
2.262,-3.19270086210422
2.268,-3.28274098500077
2.274,-3.39029495300544
2.28,-3.51272914299544
2.286,-3.64505653479274
2.292,-3.7806476550748
2.298,-3.91309844684068
2.304,-4.03849045184646
2.31,-4.15650763942581
2.316,-4.26953895338258
