"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-0.276928524681415
2.4,0,2,-1.4101849522305
2.4,0,4,-2.7931090662416
2.4,0,6.00000000000001,-4.31241802667766
2.4,0,7.99999999999998,-5.60775279116545
2.4,0,10,-6.04250254243448
