"Freq [GHz]","dB(St(1,1)) []"
1.2,-4.54351257656413
1.206,-4.46463604519747
1.212,-4.38533639702
1.218,-4.29989099464934
1.224,-4.20577682710725
1.23,-4.1055479212034
1.236,-4.00592528228186
1.242,-3.9144098649381
1.248,-3.83619605877133
1.254,-3.77327131816736
1.26,-3.72521360493304
1.266,-3.69038858067289
1.272,-3.66682427158621
1.278,-3.65267462959132
1.284,-3.64643106983185
1.29,-3.64705232011821
1.296,-3.65411784884056
1.302,-3.66799989497531
1.308,-3.68987265659025
1.314,-3.72123615531306
1.32,-3.76286672252513
1.326,-3.81382261065819
1.332,-3.87147510389823
1.338,-3.93272114190555
1.344,-3.99551014484791
1.35,-4.05974267347099
1.356,-4.12717072132515
1.362,-4.20054198439716
1.368,-4.28260508948108
1.374,-4.37550457195803
1.38,-4.4806766439677
1.386,-4.59904083336263
1.392,-4.73124685848784
1.398,-4.87784144509947
1.404,-5.03930988318472
1.41,-5.21597878219503
1.416,-5.40776294076688
1.422,-5.61374095558584
1.428,-5.83160462736795
1.434,-6.05721335617271
1.44,-6.28479823064445
1.446,-6.5085030432531
1.452,-6.72520480709143
1.458,-6.93671614505799
1.464,-7.14849355500457
1.47,-7.36438850099118
1.476,-7.58102154414235
1.482,-7.78644033636954
1.488,-7.96489005974452
1.494,-8.10509434445905
1.5,-8.20640904211868
1.506,-8.27882995025927
1.512,-8.33814306945913
1.518,-8.40061854185862
1.524,-8.48013561626152
1.53,-8.58781394926714
1.536,-8.7329876744911
1.542,-8.92454669023925
1.548,-9.17221287247644
1.554,-9.48769102754447
1.56,-9.88580075377157
1.566,-10.3857604471835
1.572,-11.0128519136702
1.578,-11.8008231837649
1.584,-12.7957112180562
1.59,-14.0625785713846
1.596,-15.6987800071697
1.602,-17.8633778239764
1.608,-20.8509496422717
1.614,-25.2872970193497
1.62,-31.7057754083689
1.626,-29.4716610296702
1.632,-24.1347994643947
1.638,-20.7748402767016
1.644,-18.4453747732642
1.65,-16.6562399155384
1.656,-15.1702314210505
1.662,-13.8753194928905
1.668,-12.7323833489733
1.674,-11.7428958255211
1.68,-10.9248308919232
1.686,-10.2973263564378
1.692,-9.87332469301378
1.698,-9.65646092945287
1.704,-9.63853316934508
1.71,-9.79653969770707
1.716,-10.0911945640318
1.722,-10.4690073452259
1.728,-10.8665525615512
1.734,-11.2140890682052
1.74,-11.4421390219881
1.746,-11.499212161303
1.752,-11.3749567210371
1.758,-11.1050752170409
1.764,-10.7472377501621
1.77,-10.3482593359514
1.776,-9.92808754552238
1.782,-9.48659706108187
1.788,-9.02202654629572
1.794,-8.54504525267849
1.8,-8.0791837359373
1.806,-7.6511535014316
1.812,-7.28119999501355
1.818,-6.97942544465003
1.824,-6.74725597034878
1.83,-6.58086593080941
1.836,-6.47456655600076
