"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,-1.58657064385012
2.4,0,2,-2.47529272973499
2.4,0,4,-3.54052906052651
2.4,0,6.00000000000001,-4.83992088811151
2.4,0,7.99999999999998,-6.47527576826789
2.4,0,10,-8.62699990141975
