"Freq [GHz]","dB(St(1,1)) []"
1.2,-12.4859074639692
1.206,-13.4098689263034
1.212,-14.4004605708604
1.218,-15.4207773299449
1.224,-16.3975355253942
1.23,-17.2073174392376
1.236,-17.6899955632704
1.242,-17.7203498204832
1.248,-17.2986078008712
1.254,-16.5500404203044
1.26,-15.6339379120509
1.266,-14.6719725659378
1.272,-13.7349462851681
1.278,-12.856806073408
1.284,-12.0502334509189
1.29,-11.3169999900515
1.296,-10.6538182425117
1.302,-10.055439214588
1.308,-9.516216157505
1.314,-9.03082495535087
1.32,-8.59451630440317
1.326,-8.20310864632957
1.332,-7.85285074323487
1.338,-7.54025191081558
1.344,-7.2619603792152
1.35,-7.01473422941716
1.356,-6.79549402404154
1.362,-6.60140282192984
1.368,-6.42991279043107
1.374,-6.27873977049053
1.38,-6.14575201221499
1.386,-6.02877263787171
1.392,-5.92530414002326
1.398,-5.83220831904969
1.404,-5.74543970482161
1.41,-5.66003774704508
1.416,-5.57066849888956
1.422,-5.47289813700958
1.428,-5.36491289321584
1.434,-5.24878525971302
1.44,-5.13035014628101
1.446,-5.01765765420512
1.452,-4.91891965798408
1.458,-4.84080900537736
1.464,-4.78727773746819
1.47,-4.75885242550275
1.476,-4.75277395783966
1.482,-4.7643738962518
1.488,-4.789187260077
1.494,-4.82453145742181
1.5,-4.86974282159913
1.506,-4.92538239087982
1.512,-4.9922643956663
1.518,-5.07087837743667
1.524,-5.16126719464407
1.53,-5.2631781090078
1.536,-5.37632608339771
1.542,-5.50066476492238
1.548,-5.63651551713462
1.554,-5.78431895379003
1.56,-5.94379237555594
1.566,-6.11246677514501
1.572,-6.28394197449621
1.578,-6.44689124396502
1.584,-6.58703879840502
1.59,-6.69497370067096
1.596,-6.77914398487945
1.602,-6.87425012148971
1.608,-7.03204255823271
1.614,-7.29612125014833
1.62,-7.6754219321506
1.626,-8.1222789946778
1.632,-8.51646474131151
1.638,-8.68669149221529
1.644,-8.51356663089651
1.65,-8.03724472422122
1.656,-7.41621374085009
1.662,-6.7997601788635
1.668,-6.26890131330494
1.674,-5.8487872705772
1.68,-5.53616994250435
1.686,-5.31789571377219
1.692,-5.1797364288179
1.698,-5.10961613194134
1.704,-5.09819996662368
1.71,-5.13835954927178
1.716,-5.22418796475507
1.722,-5.34983604108095
1.728,-5.50817704622029
1.734,-5.68913262987977
1.74,-5.87782516404161
1.746,-6.05379040683772
1.752,-6.19336480398036
1.758,-6.27642473589925
1.764,-6.29531351572764
1.77,-6.26041817713552
1.776,-6.19781204556207
1.782,-6.13999051188962
1.788,-6.11524692111666
1.794,-6.14058006634498
1.8,-6.2194099976034
1.806,-6.34269238226916
1.812,-6.49168852189316
