"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,4.62280451673106
2.4,0,2,4.34886114054805
2.4,0,4,3.93407703660978
2.4,0,6.00000000000001,3.40486422086285
2.4,0,7.99999999999998,2.809495516375
2.4,0,10,2.22664095218668
