"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,0.5192511259305
2.4,0,2,0.475492838537425
2.4,0,4,0.516962191031435
2.4,0,6.00000000000001,0.697397591168745
2.4,0,7.99999999999998,1.0334315692542
2.4,0,10,1.49832060213282
