"Freq [GHz]","dB(St(1,1)) []"
1.2,-13.2483338616754
1.206,-13.6858694192022
1.212,-14.0224376466079
1.218,-14.2422715354751
1.224,-14.3450562611551
1.23,-14.3471436067931
1.236,-14.2776041424578
1.242,-14.1714344319639
1.248,-14.0632062960888
1.254,-13.9830255019003
1.26,-13.9548163069148
1.266,-13.9960365273088
1.272,-14.1179138471671
1.278,-14.3256185399838
1.284,-14.6180705832743
1.29,-14.9872023114212
1.296,-15.4164936914187
1.302,-15.8786237242186
1.308,-16.3325265752855
1.314,-16.7216724026459
1.32,-16.9781874829443
1.326,-17.0385725920558
1.332,-16.86931996677
1.338,-16.4855373264796
1.344,-15.944375479839
1.35,-15.3183011619949
1.356,-14.670185809603
1.362,-14.0427815315007
1.368,-13.4598908079383
1.374,-12.9320163724161
1.38,-12.4618711039248
1.386,-12.0482248408667
1.392,-11.6881403142824
1.398,-11.3780845794916
1.404,-11.1143503798275
1.41,-10.8930617010682
1.416,-10.709918453931
1.422,-10.5597929377763
1.428,-10.4363160311036
1.434,-10.3316525562744
1.44,-10.2367011360237
1.446,-10.1418684412766
1.452,-10.0383101094374
1.458,-9.91923876360104
1.464,-9.78086816261299
1.47,-9.62286739777906
1.476,-9.44845302464269
1.482,-9.26410313278456
1.488,-9.0786557034382
1.494,-8.90178944604741
1.5,-8.74239117806978
1.506,-8.60742222511746
1.512,-8.50147319389727
1.518,-8.42671260827614
1.524,-8.38274954019255
1.53,-8.36604486491627
1.536,-8.36890062890245
1.542,-8.37893407337227
1.548,-8.38122929396698
1.554,-8.36514855164717
1.56,-8.33278276314786
1.566,-8.30002030219153
1.572,-8.28689061348624
1.578,-8.30679093139388
1.584,-8.36353435989752
1.59,-8.45458688594862
1.596,-8.57523547868468
1.602,-8.72135409140082
1.608,-8.89100072458185
1.614,-9.08572188131376
1.62,-9.31213152823982
1.626,-9.58338723752833
1.632,-9.91841542427995
1.638,-10.3354380127494
1.644,-10.8393251484723
1.65,-11.4093087887405
1.656,-11.9945586742165
1.662,-12.5181838442116
1.668,-12.8905508013598
1.674,-13.0382476617082
1.68,-12.9411827256567
1.686,-12.6458958878385
1.692,-12.2383447923725
1.698,-11.8030621771536
1.704,-11.4000644621543
1.71,-11.0628997258358
1.716,-10.8062188736286
1.722,-10.6334882088198
1.728,-10.5411793367749
1.734,-10.519440036914
1.74,-10.5507802345832
1.746,-10.6085744195293
1.752,-10.657349794541
1.758,-10.6573216352998
1.764,-10.5747967678288
1.77,-10.395456492711
1.776,-10.1314757704549
1.782,-9.8148342033032
1.788,-9.48064285606606
1.794,-9.15331819664717
1.8,-8.8443523382271
1.806,-8.55896948085788
1.812,-8.30277604133302
1.818,-8.08334678975483
1.824,-7.90842966143061
1.83,-7.78434363995283
1.836,-7.71605156991742
1.842,-7.70849743930809
1.848,-7.76838942161681
1.854,-7.9058746620455
1.86,-8.13576975784651
1.866,-8.47801767473386
1.872,-8.95696455702817
1.878,-9.59914347966713
1.884,-10.4298063323182
1.89,-11.4695122832939
1.896,-12.7330041493269
1.902,-14.2316928779644
1.908,-15.9760036414606
1.914,-17.9644885125158
1.92,-20.1412712933184
1.926,-22.3179161722215
1.932,-24.1092778310023
1.938,-25.0470402652516
1.944,-24.9656118431542
1.95,-24.1629878510014
1.956,-23.0530061097921
1.962,-21.8945183592784
1.968,-20.781830118822
1.974,-19.7048062988615
1.98,-18.6093093391929
1.986,-17.4639499532367
1.992,-16.3019973507008
1.998,-15.1975019746365
2.004,-14.2125832079959
2.01,-13.3747933331331
2.016,-12.6857785883444
2.022,-12.1370441109185
2.028,-11.7211748505809
2.034,-11.4375875987151
2.04,-11.2928977840995
2.046,-11.2960719796835
2.052,-11.4543458079964
2.058,-11.7769012712319
2.064,-12.2809390517083
2.07,-12.9882752895205
2.076,-13.9043403641491
2.082,-14.97141879771
2.088,-15.9997184564759
2.094,-16.6582756073591
2.1,-16.6822031989527
2.106,-16.1251750821147
2.112,-15.2487729614979
2.118,-14.281347151441
2.124,-13.3540531582869
2.13,-12.5292084786231
2.136,-11.8302946727904
2.142,-11.259906820002
2.148,-10.8092735211956
2.154,-10.4635556591939
2.16,-10.2056571304723
2.166,-10.0192926369306
2.172,-9.89123386493401
2.178,-9.81284178504372
2.184,-9.78094089835005
2.19,-9.79783467868047
2.196,-9.87008229091979
2.202,-10.005277735354
2.208,-10.2061019313989
2.214,-10.4633231209629
2.22,-10.7547461485114
2.226,-11.0567428220242
2.232,-11.3599327845604
2.238,-11.6720285920275
2.244,-12.0081393579433
2.25,-12.3816643516819
2.256,-12.7999997923355
2.262,-13.2591349355461
2.268,-13.7313634514201
2.274,-14.1494054368237
2.28,-14.4074812024297
2.286,-14.4089255274416
2.292,-14.142013086806
2.298,-13.6955140410581
2.304,-13.1898516160284
2.31,-12.7095567805276
2.316,-12.2877651104355
2.322,-11.924439003215
2.328,-11.6107622308889
2.334,-11.344073640983
2.34,-11.129609583833
2.346,-10.974905123996
2.352,-10.8840978035633
2.358,-10.8549600457322
2.364,-10.8784775642376
2.37,-10.9405850774338
2.376,-11.0256713151971
2.382,-11.1206563804725
2.388,-11.2179691246471
2.394,-11.3163398818361
2.4,-11.4194186990144
2.406,-11.5331977379286
2.412,-11.6635434050786
2.418,-11.8146873199088
2.424,-11.988787760066
2.43,-12.186142278958
2.436,-12.4054969713865
2.442,-12.6441053113057
2.448,-12.89753133881
2.454,-13.159468998587
2.46,-13.4218906536145
2.466,-13.6755079285806
2.472,-13.9100205481459
2.478,-14.1135722293334
2.484,-14.2716294715351
2.49,-14.3667430969593
2.496,-14.3813432606321
2.502,-14.3044959497265
2.508,-14.1396813417116
2.514,-13.9072158213281
2.52,-13.6379227263967
2.526,-13.36254005859
2.532,-13.1041570707963
2.538,-12.8765576108356
2.544,-12.6869318237967
2.55,-12.5403189092668
2.556,-12.443491357876
2.562,-12.4064347333918
2.568,-12.4404957619902
2.574,-12.5540318747777
2.58,-12.74799473786
2.586,-13.0138420830387
2.592,-13.3348598589596
2.598,-13.6910888657545
2.604,-14.0673507196374
2.61,-14.461661609867
2.616,-14.8891158226469
2.622,-15.3782910657258
2.628,-15.962652187511
2.634,-16.6720218304766
2.64,-17.5264951296671
2.646,-18.5311856993394
2.652,-19.6685844318198
2.658,-20.8866718758336
2.664,-22.0860620407425
2.67,-23.12116617567
2.676,-23.8416627593719
2.682,-24.1733386984087
2.688,-24.1663582116159
2.694,-23.9538114817488
2.7,-23.6769266037912
2.706,-23.4467302553735
2.712,-23.3424316772148
2.718,-23.4225094771927
2.724,-23.7358009044164
2.73,-24.3273185891813
2.736,-25.2299114431345
2.742,-26.4153546403716
2.748,-27.6455100261944
2.754,-28.2717154894732
2.76,-27.6655797841263
2.766,-26.1590716026138
2.772,-24.4485383712367
2.778,-22.8380007537207
2.784,-21.3564201786029
2.79,-19.9643696695849
2.796,-18.6399227552689
2.802,-17.3925456124911
2.808,-16.2472784181367
2.814,-15.2261689820972
2.82,-14.3389207755814
2.826,-13.5827299647697
2.832,-12.9466795899465
2.838,-12.4166299388762
2.844,-11.9785788377501
2.85,-11.6199234864493
2.856,-11.3287330565788
2.862,-11.0918236096938
2.868,-10.8933940672157
2.874,-10.7161186976051
2.88,-10.5449784933914
2.886,-10.3719812580222
2.892,-10.1991295325612
2.898,-10.0378303220407
2.904,-9.90481759323695
2.91,-9.81678088761972
2.916,-9.78663522448272
2.922,-9.8224154630291
2.928,-9.92653212400115
2.934,-10.092283219937
2.94,-10.2979829482109
2.946,-10.504369814415
2.952,-10.6628899583051
2.958,-10.7357176558811
2.964,-10.7148937396231
2.97,-10.6243335674586
2.976,-10.5044782955418
2.982,-10.3942990411374
2.988,-10.321492690524
2.994,-10.3008752611106
3,-10.3366268870936
3.006,-10.4251768849162
3.012,-10.5574571850529
3.018,-10.7203779810784
3.024,-10.8980010473726
3.03,-11.0734355619292
3.036,-11.2327320383047
3.042,-11.3710018455938
3.048,-11.4981695451653
3.054,-11.63966071639
3.06,-11.8299517177205
3.066,-12.1029211370459
3.072,-12.4854231976975
3.078,-12.9969896480459
3.084,-13.6539069102224
3.09,-14.4743735123829
3.096,-15.4825495273799
3.102,-16.7104630084457
3.108,-18.1953522105849
3.114,-19.9609930526775
3.12,-21.9380727425164
3.126,-23.7109551998891
3.132,-24.2807717168948
3.138,-23.1816158058313
3.144,-21.3318262460418
3.15,-19.5133152055797
3.156,-17.9530645219338
3.162,-16.6644511159099
3.168,-15.6150409790855
3.174,-14.7722402523882
3.18,-14.1126027572489
3.186,-13.6215275008145
3.192,-13.2907189500472
3.198,-13.1159147064841
3.204,-13.0956801582958
3.21,-13.2309743633966
3.216,-13.5245458186736
3.222,-13.9789484539148
3.228,-14.5917307597657
3.234,-15.3457248416111
3.24,-16.1916001581881
3.246,-17.0227333668214
3.252,-17.660627798912
3.258,-17.90399427768
3.264,-17.6622234683308
3.27,-17.0326577768535
3.276,-16.2067417433673
3.282,-15.3446992234753
3.288,-14.5386583624949
3.294,-13.8300763640093
3.3,-13.231992573342
3.306,-12.742094457243
3.312,-12.3486723870958
3.318,-12.0335521562577
3.324,-11.7744734917049
3.33,-11.5478134983584
3.336,-11.3317273176057
3.342,-11.1093791707199
3.348,-10.871538165235
3.354,-10.6174850862803
3.36,-10.3534822729216
3.366,-10.0891247212763
3.372,-9.83293387676033
3.378,-9.5888590259623
3.384,-9.35507978934451
3.39,-9.12595761463773
3.396,-8.89662760460189
3.402,-8.66745151611528
3.408,-8.44495697093912
3.414,-8.23900103400668
3.42,-8.059025864863
3.426,-7.91173058911338
3.432,-7.80054003179148
3.438,-7.72646497494617
3.444,-7.6898056607197
3.45,-7.69187737108526
3.456,-7.73576961749535
3.462,-7.8256781063406
3.468,-7.96546482611266
3.474,-8.15775861404745
3.48,-8.40424796974786
3.486,-8.70625283021717
3.492,-9.06408847175767
3.498,-9.47517706030511
3.504,-9.93210175453753
3.51,-10.4209982149757
3.516,-10.9196180529481
3.522,-11.3954092989051
3.528,-11.8071010415504
3.534,-12.1154646091033
3.54,-12.3033559536488
3.546,-12.3914968773136
3.552,-12.4336743861021
3.558,-12.4942460597211
3.564,-12.6263541015479
3.57,-12.8621041733947
3.576,-13.2127793271319
3.582,-13.6730530656209
3.588,-14.2253880539055
3.594,-14.8433745657122
3.6,-15.4936532701081
