"Freq [GHz]","dB(St(1,1)) []"
1.2,-9.86366944254546
1.206,-10.115999521553
1.212,-10.2530763673622
1.218,-10.232150326261
1.224,-10.0462216495588
1.23,-9.72957306768169
1.236,-9.33888924081471
1.242,-8.92631859025895
1.248,-8.52353620354527
1.254,-8.14111495242455
1.26,-7.77713593885677
1.266,-7.42738243472246
1.272,-7.091685307018
1.278,-6.77474500829088
1.284,-6.48340814454538
1.29,-6.2235802170665
1.296,-5.99861213092653
1.302,-5.80921671773943
1.308,-5.65418428442468
1.314,-5.53124569112373
1.32,-5.43776377290815
1.326,-5.3711795190801
1.332,-5.32924830387036
1.338,-5.31012689763959
1.344,-5.31236673635343
1.35,-5.33486098090417
1.356,-5.37678740787715
1.362,-5.43757572477944
1.368,-5.51689681892366
1.374,-5.61463358919586
1.38,-5.7307751699496
1.386,-5.86518922340323
1.392,-6.01725403766715
1.398,-6.18536164775966
1.404,-6.36635757448994
1.41,-6.55510693355101
1.416,-6.74457738432244
1.422,-6.92696077659009
1.428,-7.09605826030517
1.434,-7.25020454336412
1.44,-7.39407092591478
1.446,-7.5380848350474
1.452,-7.69595135594637
1.458,-7.88200421850749
1.464,-8.10970796624491
1.47,-8.39149960838571
1.476,-8.73949257563473
1.482,-9.16652144329121
1.488,-9.68717443930293
1.494,-10.3185219718466
1.5,-11.0800475491966
1.506,-11.9916542444772
1.512,-13.0671812193512
1.518,-14.2978916073933
1.524,-15.6157410634597
1.53,-16.8296413828109
1.536,-17.5893704480477
1.542,-17.564349854617
1.548,-16.7879517733883
1.554,-15.6052961021463
1.56,-14.3291308264019
1.566,-13.1207340533274
1.572,-12.0388640683436
1.578,-11.0938703992849
1.584,-10.2763919843196
1.59,-9.57069724222431
1.596,-8.96089600897487
1.602,-8.43361049417403
1.608,-7.97861468600822
1.614,-7.58830130450291
1.62,-7.25660183546688
1.626,-6.97778742291634
1.632,-6.7453927970986
1.638,-6.55140590422057
1.644,-6.38588214008465
1.65,-6.23721570606653
1.656,-6.09329221710809
1.662,-5.94350537883015
1.668,-5.78114880039826
1.674,-5.60528449668321
1.68,-5.42124381279136
1.686,-5.23947589626838
1.692,-5.07309053220967
1.698,-4.93478282824277
1.704,-4.83395414197719
1.71,-4.77484475254944
1.716,-4.75614087332476
1.722,-4.77186040148102
1.728,-4.81303572410684
1.734,-4.87013503564977
1.74,-4.93640222274404
1.746,-5.01113527258209
1.752,-5.1000808666417
1.758,-5.21064018781877
1.764,-5.3436390524121
1.77,-5.48735495054993
1.776,-5.61914200831309
1.782,-5.714872093872
1.788,-5.7599211606803
1.794,-5.75395431707061
1.8,-5.70766012914374
1.806,-5.63596146055699
1.812,-5.55265493581075
1.818,-5.46809145414251
1.824,-5.38905771629606
1.83,-5.31956458667602
1.836,-5.26169299948321
1.842,-5.21610533683811
1.848,-5.18208170037718
1.854,-5.15708874620536
1.86,-5.13613705807048
1.866,-5.11169300620229
1.872,-5.07533031094406
1.878,-5.02147357450077
1.884,-4.95129096340995
1.89,-4.87380915723349
1.896,-4.80364511788327
1.902,-4.75695227818449
1.908,-4.7464132255705
1.914,-4.77765206372832
1.92,-4.8546247762181
1.926,-4.99166708501466
1.932,-5.21508407482703
1.938,-5.54991836119229
1.944,-5.9979098219119
1.95,-6.52005843833233
1.956,-7.05621419159053
1.962,-7.56640616547259
1.968,-8.01946429560057
1.974,-8.36323694668176
1.98,-8.55431478592954
1.986,-8.59954362013682
1.992,-8.5425840370861
1.998,-8.42447662723819
2.004,-8.26602404801783
2.01,-8.07332334293213
2.016,-7.84942117109401
2.022,-7.60196984871874
2.028,-7.34415504311283
2.034,-7.09048053458581
2.04,-6.85139344683623
2.046,-6.63051185709265
2.052,-6.42601898074308
2.058,-6.23530061054923
2.064,-6.05976690200524
2.07,-5.90609028278765
2.076,-5.78287993620058
2.082,-5.69616343321467
2.088,-5.64745083159182
2.094,-5.63473320342884
2.1,-5.65453381290415
2.106,-5.7035556443461
2.112,-5.77959655518616
2.118,-5.88200744823858
2.124,-6.01213884982982
2.13,-6.17424807887131
2.136,-6.3772576927507
2.142,-6.63736081066856
2.148,-6.98030602138504
2.154,-7.44048994286905
2.16,-8.05489719855929
2.166,-8.85660141772297
2.172,-9.87727318275057
2.178,-11.16087035781
2.184,-12.7834235217408
2.19,-14.8819215655154
2.196,-17.7170448713363
2.202,-21.8354765205689
2.208,-27.9451118585591
2.214,-27.438696854363
2.22,-21.9343834042039
2.226,-18.4621780341998
2.232,-16.2096266051204
2.238,-14.6578623898328
2.244,-13.5204288304633
2.25,-12.607181443188
2.256,-11.7944020269335
2.262,-11.0231495782749
2.268,-10.2862282457652
2.274,-9.60173195398619
2.28,-8.98959823087097
2.286,-8.46029062676094
2.292,-8.01322312840306
2.298,-7.63948274530483
2.304,-7.32532771029235
2.31,-7.05514240684093
2.316,-6.81388164736307
2.322,-6.58948629330286
2.328,-6.37506238294524
2.334,-6.16959396646562
2.34,-5.97636300909058
2.346,-5.79991457872572
2.352,-5.64332690554587
2.358,-5.5071837257439
2.364,-5.39073104422005
2.37,-5.29421457601939
2.376,-5.22002036050149
2.382,-5.17119662628736
2.388,-5.14867488241826
2.394,-5.14959290148537
2.4,-5.16803859537891
2.406,-5.19803549932169
2.412,-5.23723419324319
2.418,-5.28914570506088
2.424,-5.3628820940987
2.43,-5.47137293019048
2.436,-5.62968650706964
2.442,-5.85382133529525
2.448,-6.15807189669219
2.454,-6.54690161050121
2.46,-6.99832237159592
2.466,-7.44673297273935
2.472,-7.7929364407299
2.478,-7.96154264541489
2.484,-7.95804660480374
2.49,-7.85473874243084
2.496,-7.73195915377545
2.502,-7.64316237866249
2.508,-7.61375884390522
2.514,-7.65157297792195
2.52,-7.75559693787752
2.526,-7.92078318190619
2.532,-8.14031528353332
2.538,-8.40705502324075
2.544,-8.71545415115808
2.55,-9.06466202876565
2.556,-9.46231336044065
2.562,-9.92618381671566
2.568,-10.479313550426
2.574,-11.137341113026
2.58,-11.8944986213886
2.586,-12.7177093052108
2.592,-13.5512936583969
2.598,-14.327787305405
2.604,-14.9809527468953
2.61,-15.4594636027405
2.616,-15.7384301679429
2.622,-15.8239759982613
2.628,-15.7483798198348
2.634,-15.5586442611387
2.64,-15.3041603903839
2.646,-15.0274546161523
2.652,-14.7588755174326
2.658,-14.5144233391029
2.664,-14.2960551692985
2.67,-14.0945527615687
2.676,-13.8950800559158
2.682,-13.6843108540398
2.688,-13.4566699074577
2.694,-13.2176686346577
2.7,-12.9837490560259
2.706,-12.7784384445578
2.712,-12.6252057109202
2.718,-12.5393543630455
2.724,-12.5221211351828
2.73,-12.5587856868441
2.736,-12.6211265793648
2.742,-12.6743469126866
2.748,-12.6883468548441
2.754,-12.6502309596347
2.76,-12.5704569429866
2.766,-12.4772330507426
2.772,-12.40444254936
2.778,-12.3831352071964
2.784,-12.4374864919478
2.79,-12.579269791521
2.796,-12.8045382043218
2.802,-13.1041690198977
2.808,-13.4856498075087
2.814,-13.9877929442541
2.82,-14.6789703042031
2.826,-15.6499424089948
2.832,-17.0191779256141
2.838,-18.9644278956798
2.844,-21.8021477717681
2.85,-26.1410972454154
2.856,-31.4799551873127
2.862,-28.319065762452
2.868,-23.7595254440792
2.874,-20.9054429062108
2.88,-19.0150043846374
2.886,-17.6230157463951
2.892,-16.4638513138268
2.898,-15.4021412092043
2.904,-14.3957641455268
2.91,-13.4569742620917
2.916,-12.6174178436453
2.922,-11.9064237949365
2.928,-11.3420253446519
2.934,-10.9294906138448
2.94,-10.6628137404373
2.946,-10.5262831740693
2.952,-10.4944373992095
2.958,-10.5300401355932
2.964,-10.5822481607641
2.97,-10.5905673436918
2.976,-10.5001104466749
2.982,-10.2840119053478
2.988,-9.95577943252455
2.994,-9.55908494603365
3,-9.14483675080882
3.006,-8.75423103311718
3.012,-8.41435745101276
3.018,-8.14172887483234
3.024,-7.94789501727195
3.03,-7.8440297676865
3.036,-7.84345518904399
3.042,-7.96201293409777
3.048,-8.2165243637062
3.054,-8.62157590705765
3.06,-9.18442446888122
3.066,-9.89664927424984
3.072,-10.720308703529
3.078,-11.5696994741456
3.084,-12.3037679663779
3.09,-12.7640392439703
3.096,-12.8673413035937
3.102,-12.6657217229491
3.108,-12.2936600330624
3.114,-11.8763744250143
3.12,-11.4894138570445
3.126,-11.163350915529
3.132,-10.8990672486749
3.138,-10.6792123722668
3.144,-10.4787914329277
3.15,-10.2837550657054
3.156,-10.1124149313112
3.162,-10.0123440852527
3.168,-10.0287397420512
3.174,-10.1796624611735
3.18,-10.4545849882048
3.186,-10.8229521054838
3.192,-11.2412650370284
3.198,-11.6578964854459
3.204,-12.0181374045705
3.21,-12.268421371634
3.216,-12.3650386452435
3.222,-12.2990041397069
3.228,-12.1125941728267
3.234,-11.874477293046
3.24,-11.6407663288449
3.246,-11.4399420243957
3.252,-11.2802815872534
3.258,-11.1637786500067
3.264,-11.096459706173
3.27,-11.0906434342357
3.276,-11.1600610319215
3.282,-11.3144417285333
3.288,-11.5588039602837
3.294,-11.8947636996593
3.3,-12.3186470366846
3.306,-12.818216065124
3.312,-13.3760176337112
3.318,-13.9807869158431
3.324,-14.6346375395239
3.33,-15.3433731370407
3.336,-16.0908009584796
3.342,-16.8128405836095
3.348,-17.4080459081788
3.354,-17.8131156031643
3.36,-18.0722911048246
3.366,-18.3002082227101
3.372,-18.595827263417
3.378,-19.0070232230104
3.384,-19.5452483865113
3.39,-20.2134889563139
3.396,-21.0280724480674
3.402,-22.0301559562667
3.408,-23.2906821057595
3.414,-24.9163292696562
3.42,-27.0622503948744
3.426,-29.9307780993204
3.432,-33.4564355337855
3.438,-35.1082591273167
3.444,-32.4309911525643
3.45,-29.2987297396407
3.456,-26.9659936707308
3.462,-25.3429610495254
3.468,-24.2931353912836
3.474,-23.7202360210045
3.48,-23.5413602831437
3.486,-23.6754605512197
3.492,-24.0444251347998
3.498,-24.5675388974289
3.504,-25.1317110068761
3.51,-25.5511639017489
3.516,-25.6026952858464
3.522,-25.1898723003839
3.528,-24.4251571145886
3.534,-23.4831305448219
3.54,-22.4667449120907
3.546,-21.4143154007461
3.552,-20.353061625828
3.558,-19.3281161851834
3.564,-18.4001798541454
3.57,-17.6266126983259
3.576,-17.0412781772725
3.582,-16.6457511558056
3.588,-16.4153865137309
3.594,-16.3095373629645
3.6,-16.2756120968958
