"Freq [GHz]","dB(St(1,1)) []"
1.2,-3.67231784182975
1.206,-3.63466611915562
1.212,-3.59556192094524
1.218,-3.55693171058764
1.224,-3.52175783425215
1.23,-3.49425397992383
1.236,-3.47995695176727
1.242,-3.48587787716267
1.248,-3.52070650986314
1.254,-3.5944515075273
1.26,-3.71632195451277
1.266,-3.89029883692775
1.272,-4.11032551644459
1.278,-4.35934026956434
1.284,-4.61453627140158
1.29,-4.85568058905209
1.296,-5.07073100082453
1.302,-5.25634826212956
1.308,-5.41516241378704
1.314,-5.55257564318895
1.32,-5.67453691214864
1.326,-5.78642821981867
1.332,-5.89269852743825
1.338,-5.99687624392464
1.344,-6.1017263674078
1.35,-6.20943543676929
1.356,-6.32177635312355
1.362,-6.44023764230442
1.368,-6.56611366118803
1.374,-6.70055496073691
1.38,-6.84457968413219
1.386,-6.99905432117131
1.392,-7.16466813761859
1.398,-7.34194091035398
1.404,-7.5312957990874
1.41,-7.73318691508047
1.416,-7.94822474047146
1.422,-8.17724070948812
1.428,-8.42127705251295
1.434,-8.68153134608344
1.44,-8.95929344411414
1.446,-9.25589504059434
1.452,-9.57267151219786
1.458,-9.91091930109731
1.464,-10.2718109858463
1.47,-10.6561905946875
1.476,-11.0641145044466
1.482,-11.4939702484573
1.488,-11.9410751721928
1.494,-12.3958695451617
1.5,-12.8421345567496
1.506,-13.2560876642265
1.512,-13.6077726883621
1.518,-13.8663742074018
1.524,-14.0095264121074
1.53,-14.0327628893893
1.536,-13.9524765276322
1.542,-13.7993732477436
1.548,-13.6071088564204
1.554,-13.4036174051627
1.56,-13.2083642866678
1.566,-13.033760101562
1.572,-12.8876446148409
1.578,-12.7750283401011
1.584,-12.698792605448
1.59,-12.6598225607918
1.596,-12.6572062183175
1.602,-12.6890015993273
1.608,-12.7538052066676
1.614,-12.8529740157137
1.62,-12.992925526506
1.626,-13.1866449437004
1.632,-13.4535292299079
1.638,-13.8169244607616
1.644,-14.2988687457595
1.65,-14.9115221966365
1.656,-15.6452714288132
1.662,-16.4566578017226
1.668,-17.2671023278177
1.674,-17.9888035742865
1.68,-18.5737669575792
1.686,-19.03990573894
1.692,-19.4376702601643
1.698,-19.7851271953598
1.704,-20.0173255452955
1.71,-19.980586206043
1.716,-19.5128227579415
1.722,-18.5864385819127
1.728,-17.3456034704626
1.734,-15.9880556279919
1.74,-14.6596728044246
1.746,-13.4372503376137
1.752,-12.3506324269395
1.758,-11.4046238673184
1.764,-10.5923587344897
1.77,-9.90240800091676
1.776,-9.32251002853993
1.782,-8.84156118959033
1.788,-8.45051605831751
1.794,-8.14246044320426
1.8,-7.91226263244116
1.806,-7.75655367109673
1.812,-7.67517097115704
1.818,-7.67550164740246
1.824,-7.78046618615793
1.83,-8.0382913038514
1.836,-8.52905184994737
1.842,-9.359500032791
1.848,-10.6236309198658
1.854,-12.2624350126537
1.86,-13.7441516243618
1.866,-14.0893895382896
1.872,-13.2115915966771
1.878,-11.9778993013146
1.884,-10.9092582817302
1.89,-10.1209599151908
1.896,-9.59385494305336
1.902,-9.27962199686364
1.908,-9.12326241101291
1.914,-9.06462088278199
1.92,-9.04453571714658
1.926,-9.02623982190652
1.932,-9.01769088991429
1.938,-9.0667018444235
1.944,-9.23297282134055
1.95,-9.5681710944176
1.956,-10.1153485514871
1.962,-10.917161413549
1.968,-12.0219546433338
1.974,-13.4783353059363
1.98,-15.2886773660286
1.986,-17.2103843735051
1.992,-18.3034152989406
1.998,-17.5106650378941
2.004,-15.5639764674977
2.01,-13.589541332975
2.016,-11.9559294933061
2.022,-10.6870639525444
2.028,-9.72879990707964
2.034,-9.01904228323282
2.04,-8.50202117909284
2.046,-8.13063329985249
2.052,-7.86796844385429
2.058,-7.6889900290771
2.064,-7.58013926336888
2.07,-7.53627918226879
2.076,-7.55670305088095
2.082,-7.64168811029678
2.088,-7.78986997248711
2.094,-7.99663404626526
2.1,-8.25426424239095
2.106,-8.55393027551647
2.112,-8.88750119998108
2.118,-9.24632834751346
2.124,-9.61645455866428
2.13,-9.97304340720076
2.136,-10.2785870905286
2.142,-10.4894013037585
2.148,-10.5721297787031
2.154,-10.5244551582992
2.16,-10.3853550016153
2.166,-10.2219754476074
2.172,-10.0981844331789
2.178,-10.0452116406328
2.184,-10.0478458483428
2.19,-10.0466988235456
2.196,-9.96166729451305
2.202,-9.74172870262012
2.208,-9.40208762403988
2.214,-8.99738462928456
2.22,-8.57099615933997
2.226,-8.14291941745157
2.232,-7.72365678523828
2.238,-7.3235986302761
2.244,-6.95346659877238
2.25,-6.62221216679289
2.256,-6.33601149790668
2.262,-6.0986293832765
2.268,-5.91237205116414
2.274,-5.77893334078643
2.28,-5.69968054428519
2.286,-5.67509048687334
2.292,-5.70324041634806
2.298,-5.7776393850733
2.304,-5.88539984948322
2.31,-6.00765569028162
2.316,-6.12406737011238
2.322,-6.22058484636924
2.328,-6.29578104653437
2.334,-6.3611213108418
2.34,-6.4354974415955
2.346,-6.53831440381316
2.352,-6.68459685926232
2.358,-6.88246391609044
2.364,-7.13171736943445
2.37,-7.42337688128489
2.376,-7.74189658867946
2.382,-8.07091083286781
2.388,-8.39812402022918
2.394,-8.71179768584618
2.4,-8.99001818191432
2.406,-9.19711508254324
2.412,-9.29819843980378
2.418,-9.28225263571594
2.424,-9.17188476875453
2.43,-9.01169211330401
2.436,-8.84867455819513
2.442,-8.71980405834812
2.448,-8.64961639688896
2.454,-8.65304157793866
2.46,-8.73876721091893
2.466,-8.91098134089372
2.472,-9.16941010647453
2.478,-9.50878840281354
2.484,-9.91905631838586
2.49,-10.3861206941564
2.496,-10.8904935770447
2.502,-11.3998681997205
2.508,-11.8551707889753
2.514,-12.1614413183314
2.52,-12.2104402989926
2.526,-11.9469070370439
2.532,-11.4219415208953
2.538,-10.764245959446
2.544,-10.1053890977363
2.55,-9.53485406083371
2.556,-9.09597697908807
2.562,-8.79856913890233
2.568,-8.63265151513423
2.574,-8.57926518879571
2.58,-8.61831232190602
2.586,-8.73341533863488
2.592,-8.91295578828766
2.598,-9.14693584690416
2.604,-9.421199296167
2.61,-9.71226135081525
2.616,-9.98706847470996
2.622,-10.2116379650427
2.628,-10.3675695362889
2.634,-10.4666841251411
2.64,-10.5517612436491
2.646,-10.6807390890595
2.652,-10.9036734669834
2.658,-11.2476272913283
2.664,-11.7177315597128
2.67,-12.3088214648226
2.676,-13.0180104603084
2.682,-13.853844828697
2.688,-14.8425905823838
2.694,-16.0337439316163
2.7,-17.5064169973641
2.706,-19.3764272400374
2.712,-21.7953005935872
2.718,-24.8751320223414
2.724,-28.1121471522555
2.73,-28.9229174467227
2.736,-26.7415929997654
2.742,-24.2526767184618
2.748,-22.2040037206905
2.754,-20.5341366459754
2.76,-19.1144262838346
2.766,-17.8519521902028
2.772,-16.6954533114033
2.778,-15.6258683844765
2.784,-14.6435606754925
2.79,-13.7566150022804
2.796,-12.9728719874141
2.802,-12.2966742207488
2.808,-11.7294652901973
2.814,-11.2721557971701
2.82,-10.9272284046503
2.826,-10.6997167723127
2.832,-10.5973439579315
2.838,-10.630204080488
2.844,-10.8092091307156
2.85,-11.1406623723579
2.856,-11.6134346108021
2.862,-12.1793210049385
2.868,-12.7405666799134
2.874,-13.1722677653502
2.88,-13.3865949680933
2.886,-13.3857610834499
2.892,-13.2479777064944
2.898,-13.0733005845273
2.904,-12.9460562703292
2.91,-12.925853823826
2.916,-13.0517938159098
2.922,-13.3488350330046
2.928,-13.8337598402357
2.934,-14.5207599074521
2.94,-15.4261878330222
2.946,-16.5720802861202
2.952,-17.9892214104714
2.958,-19.7215461184805
2.964,-21.8336373578586
2.97,-24.4211836322578
2.976,-27.6114445204728
2.982,-31.4343637683457
2.988,-34.8238924511709
2.994,-34.7387502239561
3,-32.4938578203184
3.006,-30.4091287334023
3.012,-28.7282620846891
3.018,-27.3298058167157
3.024,-26.1414818669663
3.03,-25.1344216775082
3.036,-24.2804409355739
3.042,-23.5485713314987
3.048,-22.932652797675
3.054,-22.4626011165588
3.06,-22.1816520443964
3.066,-22.1178373864572
3.072,-22.2766589595854
3.078,-22.6580232452099
3.084,-23.2814223717226
3.09,-24.1969456659467
3.096,-25.4630957421814
3.102,-27.0374681302076
3.108,-28.4132453487553
3.114,-28.3579008049975
3.12,-26.6636114152993
3.126,-24.5992783790745
3.132,-22.869929527978
3.138,-21.5838098988672
3.144,-20.683457102639
3.15,-20.0905486453857
3.156,-19.7372097199256
3.162,-19.5689401262976
3.168,-19.5410815066538
3.174,-19.6142410215748
3.18,-19.750369532862
3.186,-19.9107321210971
3.192,-20.0571647461953
3.198,-20.15744500941
3.204,-20.1934730201251
3.21,-20.1678614990537
3.216,-20.1035623015637
3.222,-20.035408873651
3.228,-19.9989916949826
3.234,-20.023700952205
3.24,-20.1320950410406
3.246,-20.3431703780934
3.252,-20.6759425982322
3.258,-21.1500968601858
3.264,-21.7799734946054
3.27,-22.5565921563801
3.276,-23.4133153840366
3.282,-24.1880388465235
3.288,-24.6461144891244
3.294,-24.6324111446439
3.3,-24.208854730425
3.306,-23.5658308482243
3.312,-22.8614346451588
3.318,-22.1805982567999
3.324,-21.5711322575036
3.33,-21.0783764643273
3.336,-20.7515632596931
3.342,-20.6278054686316
3.348,-20.7161279197771
3.354,-20.9971410684
3.36,-21.433444417185
3.366,-21.9796830412655
3.372,-22.5906454332068
3.378,-23.2324956914362
3.384,-23.8975282315052
3.39,-24.611578312094
3.396,-25.4166083723229
3.402,-26.3131379535703
3.408,-27.1568034654053
3.414,-27.5810846287134
3.42,-27.2190804098517
3.426,-26.1603596225562
3.432,-24.8367751461425
3.438,-23.5896115956286
3.444,-22.5824313204691
3.45,-21.8817467865169
3.456,-21.5089286478624
3.462,-21.4532499446346
3.468,-21.6724691008526
3.474,-22.0973997852279
3.48,-22.6432970243265
3.486,-23.2218755559006
3.492,-23.7459840727206
3.498,-24.1248891749438
3.504,-24.2604486090513
3.51,-24.0650941170579
3.516,-23.5081338748452
3.522,-22.6483778688319
3.528,-21.607235096598
3.534,-20.5120904145072
3.54,-19.4646808272788
3.546,-18.5384123440419
3.552,-17.7814135181155
3.558,-17.2154976391477
3.564,-16.8347148281728
3.57,-16.6049170432874
3.576,-16.461699371314
3.582,-16.3119527465758
3.588,-16.0585399448605
3.594,-15.65460795418
3.6,-15.1394021250087
