"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,0,0.265884173679529
2.4,0,2,0.000640300490896476
2.4,0,4,-0.554140286219562
2.4,0,6.00000000000001,-1.43065712975787
2.4,0,7.99999999999998,-2.65530196224487
2.4,0,10,-4.19955061412159
