"Freq [GHz]","dB(St(1,1)) []"
1.2,-9.69273921943421
1.206,-9.81461465828227
1.212,-9.96847905325566
1.218,-10.1632646816368
1.224,-10.4102520812877
1.23,-10.7236937676769
1.236,-11.1184828123369
1.242,-11.6016300226732
1.248,-12.1541996373435
1.254,-12.7065469004195
1.26,-13.1288336481355
1.266,-13.2768973765249
1.272,-13.0888981551448
1.278,-12.6302189267646
1.284,-12.0296745563061
1.29,-11.3972269294387
1.296,-10.7957915666284
1.302,-10.25082179496
1.308,-9.76680138752528
1.314,-9.33894533773735
1.32,-8.95954351195146
1.326,-8.6208758229571
1.332,-8.31631644657306
1.338,-8.04058276428863
1.344,-7.78961255055898
1.35,-7.56028277741232
1.356,-7.35005014194149
1.362,-7.15655281669866
1.368,-6.97724392645273
1.374,-6.80919723191427
1.38,-6.64924825959244
1.386,-6.49450214457998
1.392,-6.34298129027053
1.398,-6.19404402476743
1.404,-6.04836854486772
1.41,-5.90760431285256
1.416,-5.7739404905541
1.422,-5.64976331058789
1.428,-5.53742963573732
1.434,-5.43910394273056
1.44,-5.35660626906868
1.446,-5.29125972543371
1.452,-5.2437687768877
1.458,-5.21417774483132
1.464,-5.20194154290705
1.47,-5.2060954275903
1.476,-5.22546347414448
1.482,-5.25882521959301
1.488,-5.30497824968662
1.494,-5.36268085415964
1.5,-5.43051174110928
1.506,-5.50672446482303
1.512,-5.58918957792793
1.518,-5.67549633574041
1.524,-5.76322344951691
1.53,-5.85030383233477
1.536,-5.93534973165603
1.542,-6.01781787312145
1.548,-6.0979750982397
1.554,-6.17671652298809
1.56,-6.25533360484495
1.566,-6.33531763634262
1.572,-6.41824268358283
1.578,-6.50573164938217
1.584,-6.59948226667325
1.59,-6.70131064278227
1.596,-6.81314283157731
1.602,-6.93683248134335
1.608,-7.07360676111829
1.614,-7.22292901587137
1.62,-7.38087223598742
1.626,-7.53898331580255
1.632,-7.68550090080964
1.638,-7.80979850986748
1.644,-7.90774379542991
1.65,-7.98428204665082
1.656,-8.05231422344406
1.662,-8.12954163467482
1.668,-8.23439705677699
1.674,-8.38138465359246
1.68,-8.57730377129195
1.686,-8.82067040345571
1.692,-9.10483224380692
1.698,-9.42270271584777
1.704,-9.770740984275
1.71,-10.1513536441744
1.716,-10.5740309230687
1.722,-11.055343496762
1.728,-11.6168483002425
1.734,-12.2786638337596
1.74,-13.045685706307
1.746,-13.8844791718573
1.752,-14.6960728452655
1.758,-15.3114272058032
1.764,-15.5577222748603
1.77,-15.3806189144241
1.776,-14.8820614241239
1.782,-14.2241295715459
1.788,-13.5340766096173
1.794,-12.8824399868325
1.8,-12.2983540171956
1.806,-11.7871541359148
1.812,-11.3421901522751
1.818,-10.9532787914522
1.824,-10.6138306362449
1.83,-10.3250974245942
1.836,-10.0948681405109
1.842,-9.931323514471
1.848,-9.83592043691912
1.854,-9.79823700247574
1.86,-9.79370259885709
1.866,-9.78557712141132
1.872,-9.73369071855769
1.878,-9.60943918014085
1.884,-9.40886631487838
1.89,-9.15334113048159
1.896,-8.87798993719841
1.902,-8.61890619846858
1.908,-8.40679890406796
1.914,-8.26561047378373
1.92,-8.21233544019848
1.926,-8.25653855294996
1.932,-8.39940360163493
1.938,-8.63252825900765
1.944,-8.93731992975022
1.95,-9.28601704382771
1.956,-9.64366521196852
1.962,-9.96835643724294
1.968,-10.2092801255754
1.974,-10.3087950912943
1.98,-10.2178290196407
1.986,-9.92349943940849
1.992,-9.46703694268943
1.998,-8.92983005740988
2.004,-8.39841832303593
2.01,-7.93808279562834
2.016,-7.58680369574198
2.022,-7.36179923102926
2.028,-7.26852841710708
2.034,-7.30719561345492
2.04,-7.47555566460699
2.046,-7.76802659926995
2.052,-8.17145530968898
2.058,-8.65963941358635
2.064,-9.19356004356989
2.07,-9.73651636713162
2.076,-10.2762973053069
2.082,-10.8215670241238
2.088,-11.363275742641
2.094,-11.8440331611192
2.1,-12.1797531870115
2.106,-12.3296847402147
2.112,-12.3460407961326
2.118,-12.346448263374
2.124,-12.4542347278963
2.13,-12.7708419185829
2.136,-13.3829508492117
2.142,-14.3831359772485
2.148,-15.8981627486491
2.154,-18.1428374432552
2.16,-21.5748837961481
2.166,-27.5601875868675
2.172,-38.2626322265791
2.178,-27.2768076952896
2.184,-22.0375885477254
2.19,-18.9899681797374
2.196,-16.8724882566609
2.202,-15.2342774260749
2.208,-13.877821548543
2.214,-12.7257714330759
2.22,-11.765693805516
2.226,-11.0117916129853
2.232,-10.4763144982851
2.238,-10.1534547577245
2.244,-10.0167076527068
2.25,-10.0272604733747
2.256,-10.1483741399233
2.262,-10.3596505510836
2.268,-10.6661191188665
2.274,-11.0995421089255
2.28,-11.7111142563211
2.286,-12.5519490537595
2.292,-13.6215494957402
2.298,-14.7261961380617
2.304,-15.2577535228333
2.31,-14.5515949834562
2.316,-12.947813019382
2.322,-11.2807287483889
2.328,-9.96942094426158
2.334,-9.08641553890545
2.34,-8.57500892616433
2.346,-8.35201553886856
2.352,-8.34423764599131
2.358,-8.4967353912428
2.364,-8.77167086844095
2.37,-9.14514812681655
2.376,-9.60335062041372
2.382,-10.1376948882513
2.388,-10.7388082197598
2.394,-11.389057724098
2.4,-12.0531064765544
2.406,-12.6672062075968
2.412,-13.1349733504476
2.418,-13.3506539100995
2.424,-13.2626086781729
2.43,-12.9275970244781
2.436,-12.4823641240722
2.442,-12.0610082110814
2.448,-11.7415130868745
2.454,-11.5399513333898
2.46,-11.4249897765106
2.466,-11.331698055032
2.472,-11.1755174407556
2.478,-10.8838789729254
2.484,-10.4423660581839
2.49,-9.90984905516239
2.496,-9.38072102509104
2.502,-8.93671528564782
2.508,-8.62638966769791
2.514,-8.46775642819256
2.52,-8.45636697124353
2.526,-8.56986500046015
2.532,-8.76907247134409
2.538,-9.00100955313699
2.544,-9.2106584337569
2.55,-9.36122643563087
2.556,-9.44943402836194
2.562,-9.50226359254162
2.568,-9.56036175656364
2.574,-9.66386745287115
2.58,-9.84718473140168
2.586,-10.1384660885893
2.592,-10.5582675600148
2.598,-11.1155649738073
2.604,-11.8012842630572
2.61,-12.5776945619446
2.616,-13.3611237146125
2.622,-14.0055057766656
2.628,-14.3228127104493
2.634,-14.1812910481083
2.64,-13.6117175868079
2.646,-12.777138012356
2.652,-11.8509881954096
2.658,-10.9493163798715
2.664,-10.1326581870529
2.67,-9.42800421363028
2.676,-8.84526532730492
2.682,-8.38539885453264
2.688,-8.04417813654274
2.694,-7.81515799236657
2.7,-7.69239161867827
2.706,-7.67158740159779
2.712,-7.74904413875584
2.718,-7.91875338323155
2.724,-8.16833217113473
2.73,-8.47499605118843
2.736,-8.80430613825282
2.742,-9.11536173599937
2.748,-9.37309332178974
2.754,-9.56151316802871
2.76,-9.68942692501265
2.766,-9.78740766415278
2.772,-9.9018868284381
2.778,-10.0896391982349
2.784,-10.4093120676038
2.79,-10.9030295628319
2.796,-11.5609584860068
2.802,-12.2727744077202
2.808,-12.8157208546675
2.814,-12.9749953631059
2.82,-12.7347108054992
2.826,-12.2663244572762
2.832,-11.7492622391953
2.838,-11.2805822510123
2.844,-10.8901052538358
2.85,-10.5757166545006
2.856,-10.3270330963053
2.862,-10.1380969228007
2.868,-10.0132569581055
2.874,-9.96709427638503
2.88,-10.0169064826456
2.886,-10.1670520449966
2.892,-10.3911106339475
2.898,-10.6299021928887
2.904,-10.8217015845103
2.91,-10.9430605944004
2.916,-11.0118489255887
2.922,-11.0509899355326
2.928,-11.0602948746972
2.934,-11.0230047033275
2.94,-10.9309191817075
2.946,-10.7984558238691
2.952,-10.6557780622997
2.958,-10.5340331108972
2.964,-10.4563134520568
2.97,-10.436665825493
2.976,-10.4832719639247
2.982,-10.6022352248381
2.988,-10.8004331085196
2.994,-11.0869616738836
3,-11.4727998370887
3.006,-11.9684985897788
3.012,-12.5803581529302
3.018,-13.3060126154755
3.024,-14.1298138921094
3.03,-15.0170988963439
3.036,-15.9061836622144
3.042,-16.7013178122255
3.048,-17.2806056207458
3.054,-17.537059985306
3.06,-17.4387196585949
3.066,-17.0486084686097
3.072,-16.4808962683842
3.078,-15.8450636034783
3.084,-15.2208197680528
3.09,-14.6581707976552
3.096,-14.1847566675829
3.102,-13.8124202357556
3.108,-13.5418036355883
3.114,-13.3643279379468
3.12,-13.2609124255509
3.126,-13.2003416993582
3.132,-13.1433279911048
3.138,-13.0535747503688
3.144,-12.9086346720181
3.15,-12.7032004652725
3.156,-12.4450863876296
3.162,-12.1489253060753
3.168,-11.8312929976399
3.174,-11.508025077086
3.18,-11.1931600474975
3.186,-10.8989640607294
3.192,-10.6366011757662
3.198,-10.4167747546462
3.204,-10.2494880127303
3.21,-10.14242555916
3.216,-10.0983485280556
3.222,-10.1129214211242
3.228,-10.1750213285564
3.234,-10.2710121282123
3.24,-10.3916042088746
3.246,-10.5359421005438
3.252,-10.7083710645236
3.258,-10.9111848851611
3.264,-11.1412177619095
3.27,-11.3926216929044
3.276,-11.6618792877998
3.282,-11.9512676084977
3.288,-12.2695553666551
3.294,-12.6295877954663
3.3,-13.0425298661317
3.306,-13.5095499559119
3.312,-14.0131648951425
3.318,-14.5115095425464
3.324,-14.9400738965876
3.33,-15.2262732544336
3.336,-15.3166293091066
3.342,-15.2017554286636
3.348,-14.9185406162355
3.354,-14.5285607794348
3.36,-14.0926085091175
3.366,-13.6567016683703
3.372,-13.2497454939712
3.378,-12.8868857157581
3.384,-12.574290263067
3.39,-12.3133528220989
3.396,-12.102714215449
3.402,-11.9366746004818
3.408,-11.8009714717028
3.414,-11.6715701968617
3.42,-11.5238169848791
3.426,-11.3504967575351
3.432,-11.172981034332
3.438,-11.0319089620516
3.444,-10.9661703572233
3.45,-10.9999462219289
3.456,-11.1442723358704
3.462,-11.4049758077384
3.468,-11.7877068100658
3.474,-12.2968462842596
3.48,-12.9300679628716
3.486,-13.6724385137937
3.492,-14.494154293415
3.498,-15.3551313200242
3.504,-16.2175682126911
3.51,-17.0630756543754
3.516,-17.9050726193502
3.522,-18.7870093361184
3.528,-19.7658843670276
3.534,-20.8871476481958
3.54,-22.1504642937211
3.546,-23.4521854415526
3.552,-24.5050414745301
3.558,-24.8734462053405
3.564,-24.3511184611868
3.57,-23.228660466786
3.576,-21.9424905011727
3.582,-20.7674944868551
3.588,-19.8232536251302
3.594,-19.1446960219337
3.6,-18.7261710581288
