"Freq [GHz]","dB(St(1,1)) []"
1.2,-6.55419199164243
1.206,-6.48687052469024
1.212,-6.43375073734421
1.218,-6.38926990797454
1.224,-6.34508351260111
1.23,-6.29065810934792
1.236,-6.21555918536447
1.242,-6.11307559201041
1.248,-5.98323967736073
1.254,-5.83299521280537
1.26,-5.67331295250614
1.266,-5.51538919442194
1.272,-5.36814173442993
1.278,-5.23759613321353
1.284,-5.12749660407939
1.29,-5.04027718426996
1.296,-4.97783516347915
1.302,-4.94179769353263
1.308,-4.93301105903069
1.314,-4.94996778308647
1.32,-4.98627158553357
1.326,-5.0286153188613
1.332,-5.05851117917679
1.338,-5.05964418608313
1.344,-5.02626224029047
1.35,-4.96473080388205
1.356,-4.8876025433522
1.362,-4.80680766488076
1.368,-4.73046775820032
1.374,-4.662876829834
1.38,-4.60565786848573
1.386,-4.55888852081579
1.392,-4.52186283585469
1.398,-4.4935350329741
1.404,-4.47275531270454
1.41,-4.45835673538395
1.416,-4.44909771436654
1.422,-4.44347412000497
1.428,-4.43948961304861
1.434,-4.43453143544309
1.44,-4.425478996111
1.446,-4.40910458387959
1.452,-4.38274516762309
1.458,-4.34510824870861
1.464,-4.29692713059872
1.47,-4.2411157591616
1.476,-4.18223058557026
1.482,-4.12539694760501
1.488,-4.07515381051185
1.494,-4.03468556493636
1.5,-4.00566802451868
1.506,-3.98866087959481
1.512,-3.98378406099703
1.518,-3.99135894883768
1.524,-4.01227438534912
1.53,-4.04801710844611
1.536,-4.10047795849683
1.542,-4.17169427725553
1.548,-4.26361352776946
1.554,-4.37786259647268
1.56,-4.51547381113971
1.566,-4.67658632324155
1.572,-4.86029208826854
1.578,-5.06493098392933
1.584,-5.28904837765785
1.59,-5.53276445067026
1.596,-5.79879770502459
1.602,-6.09255405335724
1.608,-6.42156072954366
1.614,-6.79496368142825
1.62,-7.22307228262384
1.626,-7.71568363142777
1.632,-8.27679008865653
1.638,-8.89185554669299
1.644,-9.50314104892708
1.65,-9.97839779988131
1.656,-10.1196120594137
1.662,-9.7884521461253
1.668,-9.06145942722776
1.674,-8.17461368962594
1.68,-7.33736089765549
1.686,-6.65301008359789
1.692,-6.1431576832971
1.698,-5.79028928959732
1.704,-5.56545926698538
1.71,-5.44106513966746
1.716,-5.39504769180101
1.722,-5.41124740008223
1.728,-5.47841647655919
1.734,-5.58896064652422
1.74,-5.73776976399131
1.746,-5.92119248477809
1.752,-6.13611720321859
1.758,-6.3791584700516
1.764,-6.64611972319166
1.77,-6.93223570826854
1.776,-7.23408023485752
1.782,-7.55395056222979
1.788,-7.90619741142699
1.794,-8.32252339915073
1.8,-8.8523289509117
1.806,-9.55736103249175
1.812,-10.5045748974573
1.818,-11.7605878701567
1.824,-13.3803554448553
1.83,-15.3558008091307
1.836,-17.4425294166894
1.842,-18.8837642532804
1.848,-18.8923688891041
1.854,-17.8596471373218
1.86,-16.594564138195
1.866,-15.4470985762466
1.872,-14.4866912801848
1.878,-13.7055896903111
1.884,-13.0826939487612
1.89,-12.6002057762546
1.896,-12.2524964303702
1.902,-12.0530470019971
1.908,-12.0357381291651
1.914,-12.249551350713
1.92,-12.7512417854371
1.926,-13.5991717616636
1.932,-14.8410179681325
1.938,-16.4626890137398
1.944,-18.2003887698469
1.95,-19.1824632084238
1.956,-18.4945372429045
1.962,-16.7132326541136
1.968,-14.8053499141738
1.974,-13.126237698738
1.98,-11.7243112751639
1.986,-10.5791441782947
1.992,-9.66377060998426
1.998,-8.95071589466157
2.004,-8.4114861702309
2.01,-8.02349086093956
2.016,-7.77698644319836
2.022,-7.67299427811547
2.028,-7.71518085601815
2.034,-7.90089277628582
2.04,-8.21101959481682
2.046,-8.59698512115008
2.052,-8.96872560689805
2.058,-9.19998758936993
2.064,-9.1755028417002
2.07,-8.86774179752856
2.076,-8.3609179685187
2.082,-7.78333574042704
2.088,-7.23126217732533
2.094,-6.75041458786258
2.1,-6.3543321630146
2.106,-6.04284232652331
2.112,-5.80978770346674
2.118,-5.6448606062394
2.124,-5.53583245536274
2.13,-5.47417304563783
2.136,-5.45992153713521
2.142,-5.49880083991603
2.148,-5.59461832906898
2.154,-5.74452983228335
2.16,-5.93832686801397
2.166,-6.16059975361733
2.172,-6.39447272623298
2.178,-6.62567893157472
2.184,-6.84785719099554
2.19,-7.06745431111732
2.196,-7.30279779788961
2.202,-7.57636376034904
2.208,-7.90627118305787
2.214,-8.30201694842715
2.22,-8.76393046761366
2.226,-9.28369560309824
2.232,-9.84478589326555
2.238,-10.4235575387565
2.244,-10.9923550008685
2.25,-11.5250360656846
2.256,-12.0032873003668
2.262,-12.4204466668412
2.268,-12.78013120158
2.274,-13.089673989609
2.28,-13.351043438573
2.286,-13.5541341784731
2.292,-13.6796203677408
2.298,-13.7144297852493
2.304,-13.6663002608742
2.31,-13.5572721247603
2.316,-13.4014808940688
2.322,-13.1938898882399
2.328,-12.9215465535153
2.334,-12.5832765795027
2.34,-12.1977117116868
2.346,-11.7951942750321
2.352,-11.4047057407873
2.358,-11.0461185815753
2.364,-10.7291843730089
2.37,-10.4561803354922
2.376,-10.2258683268849
2.382,-10.0380624675549
2.388,-9.89798520643556
2.394,-9.81837758334364
2.4,-9.81783767063501
2.406,-9.91653617994651
2.412,-10.1317444452416
2.418,-10.4736608158799
2.424,-10.939456524318
2.43,-11.5035024504452
2.436,-12.1068427057233
2.442,-12.6596716218891
2.448,-13.0735322635975
2.454,-13.3104545280498
2.46,-13.4009095654375
2.466,-13.4099747245941
2.472,-13.3849597450028
2.478,-13.3209577958432
2.484,-13.1589319875789
2.49,-12.8223450111155
2.496,-12.28060254303
2.502,-11.5872434073561
2.508,-10.8506893518615
2.514,-10.1725650858684
2.52,-9.61112680485092
2.526,-9.18039961595943
2.532,-8.86609111718048
2.538,-8.64232570353467
2.544,-8.48294693394655
2.55,-8.36689961055028
2.556,-8.27974937041672
2.562,-8.21393485823283
2.568,-8.16916485391074
2.574,-8.15260014184273
2.58,-8.17763127879547
2.586,-8.26066270166431
2.592,-8.41665190038536
2.598,-8.65516565675284
2.604,-8.97863456013197
2.61,-9.38331209625807
2.616,-9.86205673145393
2.622,-10.4074470796744
2.628,-11.0140294812882
2.634,-11.6789609459457
2.64,-12.4001901423303
2.646,-13.1705709784165
2.652,-13.9668454166722
2.658,-14.7391994545937
2.664,-15.4189399889389
2.67,-15.9530877014117
2.676,-16.3349193620531
2.682,-16.5964232250544
2.688,-16.7791729495875
2.694,-16.9151428271881
2.7,-17.0223459389969
2.706,-17.1058200611844
2.712,-17.1579802018538
2.718,-17.1586870875142
2.724,-17.0790111530192
2.73,-16.8919597331421
2.736,-16.5869737440714
2.742,-16.1780756591831
2.748,-15.698954667726
2.754,-15.190018702246
2.76,-14.6872368580878
2.766,-14.2169855599463
2.772,-13.7952308606201
2.778,-13.4284557015794
2.784,-13.115193861648
2.79,-12.8479621670155
2.796,-12.615407324351
2.802,-12.4043568386278
2.808,-12.2017437965086
2.814,-11.9968356565269
2.82,-11.7838103352543
2.826,-11.5633657652552
2.832,-11.3418152328597
2.838,-11.1281151806534
2.844,-10.9309595216359
2.85,-10.757475452945
2.856,-10.613640019588
2.862,-10.5058789321318
2.868,-10.4430674288392
2.874,-10.4377285648673
2.88,-10.5051874208166
2.886,-10.6606270172357
2.892,-10.9156728680814
2.898,-11.2766440956841
2.904,-11.7455364495328
2.91,-12.3229776457488
2.916,-13.0109547818079
2.922,-13.8131114487965
2.928,-14.7319790185017
2.934,-15.7646876213905
2.94,-16.9001791065831
2.946,-18.1206550774929
2.952,-19.4078461673962
2.958,-20.7506928284183
2.964,-22.146421993377
2.97,-23.5889192912249
2.976,-25.0490753812102
2.982,-26.4572436978463
2.988,-27.6923539757092
2.994,-28.5812610232576
3,-28.9261663018393
3.006,-28.587821926314
3.012,-27.5917885074982
3.018,-26.1331753183317
3.024,-24.4598199589114
3.03,-22.7703708906687
3.036,-21.1904556614438
3.042,-19.7887799660009
3.048,-18.5968118111591
3.054,-17.6215242090806
3.06,-16.851582566123
3.066,-16.2595672081321
3.072,-15.8032018670342
3.078,-15.428415507231
3.084,-15.075983924103
3.09,-14.6914670480952
3.096,-14.2358447742142
3.102,-13.6930964049097
3.108,-13.0718443130592
3.114,-12.4003489728767
3.12,-11.7169222056354
3.126,-11.0599898061012
3.132,-10.4613771228378
3.138,-9.94359012192606
3.144,-9.51993844575226
3.15,-9.19621643808467
3.156,-8.97310747752872
3.162,-8.8486873430753
3.168,-8.8205097686129
3.174,-8.88695261042457
3.18,-9.0476704512639
3.186,-9.30302268690974
3.192,-9.65229740256223
3.198,-10.0906926513178
3.204,-10.6057526771173
3.21,-11.1752632618818
3.216,-11.7689903716845
3.222,-12.3542791109924
3.228,-12.902353273888
3.234,-13.3924673467723
3.24,-13.8138289828869
3.246,-14.165944977133
3.252,-14.4571040041918
3.258,-14.7012808819838
3.264,-14.9153127906369
3.27,-15.1173953379291
3.276,-15.3249519405634
3.282,-15.5498318839896
3.288,-15.7927200808698
3.294,-16.040811267266
3.3,-16.2710469106003
3.306,-16.4588256583105
3.312,-16.589848480039
3.318,-16.6696321163866
3.324,-16.72475237836
3.33,-16.7956170665901
3.336,-16.9269194417717
3.342,-17.1616648499315
3.348,-17.5401724349981
3.354,-18.1027187774831
3.36,-18.8949162891984
3.366,-19.977123953098
3.372,-21.4428051808776
3.378,-23.4587712566738
3.384,-26.3684938116862
3.39,-31.0257542885971
3.396,-38.9228000788477
3.402,-33.8213395722568
3.408,-27.8567076473009
3.414,-24.3384544819263
3.42,-21.9734634405738
3.426,-20.2811568762402
3.432,-19.0466511834664
3.438,-18.1596423185399
3.444,-17.5563315294339
3.45,-17.1930386006587
3.456,-17.0331964428861
3.462,-17.0423127728966
3.468,-17.1874858830575
3.474,-17.4357681012262
3.48,-17.7429231868241
3.486,-18.0274497614688
3.492,-18.1451885863528
3.498,-17.9183313062007
3.504,-17.2550156899677
3.51,-16.2410565433755
3.516,-15.0676511018128
3.522,-13.9047969763688
3.528,-12.8534231697129
3.534,-11.9570712264324
3.54,-11.224696310002
3.546,-10.6481972992122
3.552,-10.2136254789082
3.558,-9.90699519114067
3.564,-9.71552844290725
3.57,-9.62564583188994
3.576,-9.61981634499611
3.582,-9.67566306023336
3.588,-9.77124626625634
3.594,-9.89579517109076
3.6,-10.0561414721485
